tract,Total Population,Group Quarter Population,Percent Female,Housholds,Family Households,Non-Family Households,"Single Person Households, % of Total","Households with Children, % of Total","Households with 60 years and older, % of Total",Average Household Size,Average Family Household Size,Asian,Black/African American,White,Native American Indian,Native Hawaiian/Pacific Islander,Other/Two or More Races,% Latino (of Any Race),0-4 Years,5-17 Years,18-34 Years,35-59 Years,60 and older,High School or Less,Some College/Associate Degree,College Degree,Graduate/Professional Degree,Foreign Born,English Only,Spanish Only,Asian/Pacific Islander,Other European Languages,Other Languages,% of All Households,% of Spanish-Speaking Households,% of Asian-Speaking Households,% of Other European-Speaking Households,% of Households Speaking Other Languages,Total Number of Units,Median Year Structure Built,Owner Occupied,Renter Occupied,Vacant Units,For Rent,For Sale Only,"Rented or Sold, Not Occupied","For Seasonal, Recreation or Occasional Use",Other Vacant,Median Year Moved in to Unit (Own),Median Year Moved in to Unit (Rent),Percent in Same House Last Year,Percent Abroad Last Year,Single Family Housing,2-4 Units,5-9 Units,10-19 Units,20 Units or More,Other,No Bedroom,1 Bedroom,2 Bedrooms,3-4 Bedrooms,5 or More Bedrooms,Median Rent,Median Contract Rent,Median Rent as % of Household Income,Median Home Value,Vehicles Available,Vehicles Homeowners,Vehicles Renters,Vehicles Per Capita,Households with no Vehicle,Percent of Homeowning Households,Percent of Renting Households,Median Household Income (B19013_001),Median Family Income (B19113_001),Per Capita Income,Percent in Poverty,Unemployment Rate,Percent Unemployment Female,Percent Unemployment Male,Employed Residents,Managerial Professional,Services,Sales and Office,Natural Resources,Production Transport Materials,Workers 16 Years and Older,Car,Drove Alone,Carpooled,Transit,Bike,Walk,Worked at Home,Population Density per Acre
010100,3889.0,0.0,0.5338133196194395,2028.0,0.4319526627218935,0.5680473372781065,0.46055226824457596,0.1301775147928994,0.3752465483234714,1.9176528599605522,2.808219178082192,0.39444587297505784,0.06068398045770121,0.4173309334019028,0.0,0.0,0.12753921316533814,0.12213936744664439,0.02134224736436102,0.08896888660323991,0.34893288763178193,0.26819233736178966,0.27256364103882746,0.2900980702309396,0.18032268269534957,0.292945270484024,0.2366339765896868,0.44664438158909747,0.4613767735155018,0.10641093011035208,0.33683657383079346,0.09196006305832895,0.003415659485023647,0.2306883867577509,0.0,0.19837099316868104,0.03231739358906989,0.0,2262.0,1976.2264150943397,0.08431952662721894,0.915680473372781,0.10344827586206896,0.0641025641025641,0.14957264957264957,0.0,0.594017094017094,0.19230769230769232,2005.6060606060605,2011.4085144927535,0.8422279792746113,0.061917098445595856,0.06984969053934571,0.13351016799292661,0.0649867374005305,0.09549071618037135,0.6286472148541115,0.021233569261880688,0.21441202475685234,0.4305923961096375,0.2427055702917772,0.11229000884173299,0.0,1769.756838905775,1715.1360544217687,28.332124352331604,1173076.923076923,1260.0,0.16428571428571428,0.8357142857142857,0.32399074312162507,0.47879684418145957,0.08187134502923976,0.5153473344103393,62413.793103448275,34020.27027027027,52538.39033170481,0.1396245821547956,0.042130750605326873,0.5210653753026634,0.5210653753026634,1978.0,0.5212335692618807,0.25075834175935285,0.22194135490394337,0.006066734074823054,0.0,1978.0,0.2295247724974722,0.2103134479271992,0.019211324570273004,0.2937310414560162,0.03640040444893832,0.3690596562184024,0.050050556117290194,3889.0
010200,4167.0,5.0,0.513798896088313,2515.0,0.341948310139165,0.658051689860835,0.5204771371769383,0.07276341948310139,0.3908548707753479,1.6548707753479126,2.4,0.1207103431725462,0.020158387329013677,0.8207343412526998,0.0,0.004079673626109911,0.03431725461963043,0.03263738900887929,0.0314374850011999,0.029997600191984643,0.337892968562515,0.28269738420926327,0.3179745620350372,0.039649986327590925,0.10226961990702761,0.44599398414000546,0.412086409625376,0.1931845452363811,0.9060951437066402,0.023538156590683847,0.021060455896927652,0.049306243805748266,0.0,0.01635282457879088,0.0,0.0,0.01635282457879088,0.0,3003.0,1945.7178217821781,0.384493041749503,0.6155069582504971,0.1625041625041625,0.11475409836065574,0.0,0.2069672131147541,0.39344262295081966,0.2848360655737705,2003.4132841328412,2012.438524590164,0.8117847577307037,0.030435841246652058,0.12221112221112221,0.23676323676323677,0.1262071262071262,0.1665001665001665,0.3483183483183483,0.08995449772488624,0.10589410589410589,0.4348984348984349,0.281052281052281,0.16383616383616384,0.01431901431901432,2470.9897610921503,2382.6530612244896,20.91181818181818,1410037.878787879,2303.0,0.49848024316109424,0.5015197568389058,0.5526757859371251,0.31809145129224653,0.1344364012409514,0.43281653746770027,153045.32577903682,184161.49068322981,151697.3602111831,0.031197504199664026,0.0,0.5260778859527121,0.4739221140472879,2876.0,0.7214881780250347,0.06084840055632823,0.206884561891516,0.0,0.010778859527121001,2857.0,0.3031151557577879,0.2646132306615331,0.038501925096254816,0.30591529576478826,0.030451522576128806,0.14665733286664334,0.12390619530976549,4167.0
010300,4359.0,0.0,0.44276210139940353,1971.0,0.4789446981227803,0.5210553018772197,0.26534753932014205,0.12531709791983764,0.36428209030948755,2.2115677321156775,2.7171610169491527,0.2904335856847901,0.0,0.6634549208534067,0.006882312456985547,0.0,0.03922918100481762,0.09337003899977059,0.015599908235833907,0.057352603808212894,0.37485661849047947,0.3108511126405139,0.24133975682495987,0.16601511597602295,0.10607245243679958,0.44513943184779775,0.28277299973937975,0.21862812571690754,0.6359822885108366,0.07830342577487764,0.23793987415520856,0.037520391517128875,0.010254020041948263,0.15357725471917968,0.014215800512701002,0.12864134234444186,0.0,0.0,2380.0,1939.0,0.23997970573313038,0.7600202942668696,0.17184873949579832,0.1882640586797066,0.07334963325183375,0.22982885085574573,0.23471882640586797,0.27383863080684595,2007.1078431372548,2012.4259259259259,0.8379000690766751,0.03730140455906056,0.046218487394957986,0.5668067226890756,0.17983193277310924,0.03949579831932773,0.1676470588235294,0.03515358361774744,0.08025210084033614,0.24663865546218489,0.43403361344537816,0.2357142857142857,0.0033613445378151263,2206.0669456066944,2097.5935828877004,19.0347533632287,1564960.6299212598,1793.0,0.30619074177356387,0.6938092582264361,0.4113328745125029,0.26230339928970065,0.1839323467230444,0.2870493991989319,152192.98245614034,150680.27210884355,86535.0768524891,0.07639366827253957,0.02186878727634195,0.3986083499005964,0.6232604373757455,2952.0,0.6178861788617886,0.12533875338753386,0.20799457994579945,0.04200542005420054,0.006775067750677507,2930.0,0.2392491467576792,0.19522184300341297,0.04402730375426621,0.3460750853242321,0.03822525597269624,0.2590443686006826,0.08225255972696245,4359.0
010400,4536.0,17.0,0.4669312169312169,2452.0,0.3576672104404568,0.6423327895595432,0.47553017944535075,0.12112561174551387,0.3535889070146819,1.8429853181076672,2.7217787913340934,0.2257495590828924,0.001984126984126984,0.6922398589065256,0.001763668430335097,0.0048500881834215165,0.07341269841269842,0.07583774250440917,0.037037037037037035,0.06966490299823633,0.30687830687830686,0.3549382716049383,0.23148148148148148,0.13697929976999745,0.12190135445949399,0.41988244313825707,0.32123690263225146,0.23589065255731922,0.7085622710622711,0.054716117216117216,0.15728021978021978,0.07944139194139194,0.0,0.029075091575091576,0.003205128205128205,0.022893772893772892,0.0,0.0,2936.0,1939.0,0.382952691680261,0.617047308319739,0.164850136239782,0.19008264462809918,0.0,0.0,0.4132231404958678,0.39669421487603307,2007.5520833333333,2009.5727848101267,0.9256290358494768,0.023825428635047875,0.1008174386920981,0.4097411444141689,0.2608991825613079,0.06130790190735695,0.1614441416893733,0.022719789265722753,0.13010899182561309,0.3933923705722071,0.3279972752043597,0.14850136239782016,0.0,2220.136518771331,2082.5688073394494,22.21788321167883,1536337.2093023255,2158.0,0.5417052826691381,0.4582947173308619,0.4757495590828924,0.33646003262642743,0.12566560170394037,0.46728354263053534,134663.8655462185,166250.0,108318.32010582011,0.07473544973544974,0.05683229813664596,0.47701863354037266,0.5798136645962733,3037.0,0.6901547579848535,0.04576885083964439,0.21863681264405663,0.01382943694435298,0.03161014158709253,3037.0,0.2686862034902865,0.247942048073757,0.02074415541652947,0.18241685874217978,0.046756667764241026,0.3687849851827461,0.11063549555482384,4536.0
010500,2779.0,0.0,0.49622166246851385,1722.0,0.31823461091753774,0.6817653890824622,0.6219512195121951,0.06678281068524972,0.4448315911730546,1.613821138211382,2.582116788321168,0.2367758186397985,0.0906801007556675,0.5541561712846348,0.0,0.0,0.11838790931989925,0.07556675062972293,0.06908960057574667,0.014033825116948543,0.24721122706009355,0.3242173443684779,0.34544800287873334,0.10825383658233098,0.10618000829531314,0.3766072169224388,0.408958938199917,0.34292911119107594,0.6153846153846154,0.01816776188635485,0.19443370699652107,0.16003092385001932,0.01198299188248937,0.07035175879396985,0.0,0.06609972941631233,0.004252029377657518,0.0,2107.0,1971.7548500881835,0.18176538908246226,0.8182346109175378,0.18272425249169436,0.24155844155844156,0.01038961038961039,0.08571428571428572,0.5558441558441558,0.10649350649350649,2003.8541666666667,2010.361570247934,0.8338762214983714,0.05428881650380022,0.04413858566682487,0.013289036544850499,0.0,0.0,0.9425723777883246,0.003989361702127659,0.22638822971048886,0.3920265780730897,0.32795443758898907,0.053630754627432366,0.0,2269.767441860465,2269.767441860465,27.465068493150685,1527500.0,1018.0,0.33595284872298625,0.6640471512770137,0.3663188197193235,0.454123112659698,0.06070287539936102,0.5415188076650106,132758.62068965516,184210.52631578947,106130.83843109032,0.18459877653832313,0.03279742765273312,0.4958199356913183,0.5369774919614148,1504.0,0.7659574468085106,0.05784574468085106,0.1449468085106383,0.015292553191489361,0.015957446808510637,1504.0,0.19414893617021275,0.16289893617021275,0.03125,0.22007978723404256,0.0019946808510638296,0.4428191489361702,0.13696808510638298,2779.0
010600,3429.0,0.0,0.4572761738116069,1817.0,0.41221794166208037,0.5877820583379196,0.45569620253164556,0.0825536598789213,0.3692900385250413,1.8871766648321409,2.6502002670226967,0.5570137066200058,0.018664333624963548,0.38232720909886264,0.0,0.0,0.04199475065616798,0.04286964129483815,0.004082822980460776,0.05132691746864975,0.35112277631962674,0.31700204141149024,0.2764654418197725,0.385047965597089,0.1306649024148197,0.3400595434998346,0.1442275884882567,0.48352289297171186,0.4585651537335286,0.02869692532942899,0.4603221083455344,0.05241581259150805,0.0,0.23513909224011714,0.007027818448023426,0.22547584187408493,0.0,0.0,2162.0,1939.0,0.12162905888827738,0.8783709411117226,0.1595744680851064,0.4579710144927536,0.0,0.0,0.043478260869565216,0.4985507246376812,1998.658536585366,2011.5237020316026,0.8679355783308931,0.03806734992679356,0.020351526364477335,0.27335800185013875,0.32701202590194267,0.07123034227567067,0.3080481036077706,0.03951081843838194,0.3667900092506938,0.2895467160037003,0.23172987974098058,0.09620721554116558,0.01572617946345976,1133.6633663366338,1050.8474576271187,25.38131868131868,1091346.1538461538,764.0,0.2486910994764398,0.7513089005235603,0.22280548264800235,0.658778205833792,0.39819004524886875,0.6948621553884712,60386.59793814433,68457.44680851063,53690.434529017206,0.1621463983668708,0.055947136563876655,0.46784140969162996,0.5881057268722467,2143.0,0.5072328511432571,0.19738684087727484,0.1894540363975735,0.006066262249183388,0.09986000933271115,2126.0,0.16556914393226718,0.14487300094073377,0.020696142991533398,0.25823142050799625,0.051269990592662275,0.4501411100658514,0.03527751646284102,3429.0
010700,5548.0,0.0,0.5277577505407354,2540.0,0.5905511811023622,0.4094488188976378,0.33346456692913384,0.18188976377952756,0.5759842519685039,2.184251968503937,2.715333333333333,0.7764960346070656,0.0,0.16762797404470078,0.005948089401586157,0.0,0.04992790194664744,0.060021629416005765,0.02883922134102379,0.07624369142033165,0.23143475126171592,0.28118240807498196,0.38229992790194667,0.6603975208377858,0.11797392605257534,0.15302415045949988,0.06860440265013892,0.7173756308579669,0.2525983667409057,0.024684484038604307,0.6961766889383816,0.02654046028210839,0.0,0.5657015590200446,0.012991833704528583,0.5478841870824054,0.002969561989606533,0.0,2823.0,1939.0,0.05354330708661417,0.9464566929133859,0.10024796315975912,0.5053003533568905,0.0,0.11307420494699646,0.0,0.38162544169611307,2005.1162790697674,2010.745672436751,0.8952775775054074,0.00684931506849315,0.013106624158696423,0.15054906128232376,0.1030818278427205,0.17003188097768332,0.5348919589089621,0.021339220014716703,0.5568544102019128,0.15444562522139568,0.19553666312433582,0.05065533120793482,0.04250797024442083,746.4285714285714,714.0625,32.933142857142855,864130.4347826086,816.0,0.14705882352941177,0.8529411764705882,0.14708002883922133,0.7437007874015747,0.38235294117647056,0.7641430948419301,25645.16129032258,29516.129032258064,33301.64023071377,0.19935111751982695,0.08377308707124011,0.5356200527704486,0.5481530343007915,2778.0,0.34017278617710583,0.3351331893448524,0.17818574514038876,0.035277177825773935,0.11123110151187905,2718.0,0.14716703458425312,0.12288447387785136,0.024282560706401765,0.347682119205298,0.013612950699043414,0.42236938925680645,0.047829286239882265,5548.0
010800,5038.0,0.0,0.49940452560539894,2452.0,0.39804241435562804,0.601957585644372,0.41353996737357257,0.11460032626427406,0.41435562805872755,2.0546492659053834,2.7776639344262297,0.43052798729654623,0.02203255260023819,0.5117109964271537,0.0,0.0,0.03572846367606193,0.061929337038507344,0.04208019055180627,0.0426756649464073,0.3382294561333863,0.2929734021437078,0.2840412862246923,0.26511841802713265,0.15083927339618303,0.297769602207404,0.2862727063692803,0.3056768558951965,0.6552009946125156,0.015748031496062992,0.2859510982179859,0.02859510982179859,0.014504765851636967,0.12992125984251968,0.0,0.12992125984251968,0.0,0.0,2738.0,1939.0,0.2402120717781403,0.7597879282218597,0.10445580715850986,0.05944055944055944,0.0,0.0,0.12237762237762238,0.8181818181818182,1994.7652582159624,2011.6084337349398,0.8795156808257245,0.017467248908296942,0.11139517896274653,0.2907231555880205,0.204163623082542,0.2673484295105917,0.12636961285609935,0.061669829222011384,0.11614317019722425,0.34587289992695397,0.28634039444850257,0.2516435354273192,0.0,1907.3226544622426,1894.6784922394677,22.068265682656826,1478395.061728395,1889.0,0.31286394917946003,0.68713605082054,0.37495037713378326,0.4290375203915171,0.28522920203735147,0.4745034889962426,115193.96551724138,157786.88524590165,78855.43866613736,0.10539896784438268,0.047562069997008675,0.522883637451391,0.5246784325456177,3184.0,0.5659547738693468,0.1039572864321608,0.21042713567839197,0.0414572864321608,0.0782035175879397,3162.0,0.2675521821631879,0.19101834282099936,0.07653383934218849,0.2482605945604048,0.026565464895635674,0.3431372549019608,0.0528146742567995,5038.0
010900,4486.0,0.0,0.48372715113687026,2496.0,0.3104967948717949,0.6895032051282052,0.42948717948717946,0.04607371794871795,0.35657051282051283,1.797275641025641,2.503225806451613,0.24788230049041463,0.015381185911725367,0.6767721801159162,0.0,0.0,0.05996433348194383,0.043468568880962996,0.014489522960321,0.03343736067766384,0.44895229603209985,0.23205528310298706,0.2710655372269282,0.1582293959403277,0.0892638786989484,0.44949865492785523,0.30300807043286865,0.23406152474364691,0.7514137073060394,0.036190907034607554,0.15064465053155396,0.0565482922415743,0.005202442886224836,0.0972630626555078,0.01063107894141597,0.07690567744854106,0.00972630626555078,0.0,2789.0,1939.0,0.18950320512820512,0.8104967948717948,0.10505557547508067,0.11262798634812286,0.0,0.16040955631399317,0.2593856655290102,0.46757679180887374,2010.4527559055118,2011.694756554307,0.830806954971021,0.015381185911725367,0.03119397633560416,0.4166367873789889,0.18931516672642523,0.20222301900322695,0.16063105055575475,0.11279683377308707,0.1652922194334887,0.32843313015417713,0.3044101828612406,0.19756185012549302,0.004302617425600574,2415.3846153846152,2369.5652173913045,20.68376963350785,1304945.054945055,1780.0,0.300561797752809,0.699438202247191,0.3967900133749443,0.4511217948717949,0.1649048625792812,0.5180425111220959,137157.53424657535,155818.9655172414,107169.57200178332,0.05394560855996433,0.004766444232602479,0.4702891642834445,0.534477279949158,3132.0,0.6890166028097062,0.07567049808429119,0.21455938697318008,0.0,0.020753512132822477,3032.0,0.2437335092348285,0.20679419525065962,0.036939313984168866,0.3321240105540897,0.02671503957783641,0.18139841688654354,0.10323218997361477,4486.0
011000,5127.0,0.0,0.564072557050907,2654.0,0.35644310474755087,0.6435568952524491,0.3873398643556895,0.07950263752825923,0.30934438583270535,1.9318010550113036,2.6479915433403804,0.40198946752486836,0.020869904427540473,0.558806319485079,0.0,0.0,0.01833430856251219,0.06143943826799298,0.029646967037253755,0.014823483518626878,0.48507899356348744,0.2613614199336844,0.20908913594694753,0.2439232409381663,0.09104477611940298,0.4343283582089552,0.23070362473347547,0.28437682855471036,0.5927638190954774,0.030954773869346735,0.30974874371859296,0.06371859296482411,0.002814070351758794,0.10231155778894473,0.0,0.10231155778894473,0.0,0.0,2973.0,1939.0,0.1774679728711379,0.8225320271288621,0.10729902455432223,0.27899686520376177,0.0,0.0,0.3072100313479624,0.41379310344827586,2012.0762711864406,2012.0788206979544,0.7941118743866535,0.01844946025515211,0.035317860746720484,0.13319878910191726,0.2785065590312815,0.31214261688530104,0.24083417423477968,0.06620944341862306,0.09014463504877228,0.4658594012781702,0.356878573831147,0.08711738984191053,0.0,1845.0,1735.9375,20.579347826086956,1239898.98989899,1517.0,0.24917600527356626,0.7508239947264338,0.2958845328652233,0.49849284099472496,0.2781316348195329,0.5460375629867156,121231.61764705883,166197.18309859154,88973.78583967232,0.08211429685976204,0.03976697061803445,0.5759878419452887,0.4637791286727457,3791.0,0.6019519915589554,0.1292534951200211,0.21841202848852545,0.00474808757583751,0.04563439725666051,3791.0,0.21234502769717753,0.13795832234238986,0.07438670535478765,0.38749670271696124,0.0474808757583751,0.2711685571089422,0.015299393299920866,5127.0
