Supervisor District,Total Population,Group Quarter Population,Percent Female,Housholds,Family Households,Non-Family Households,"Single Person Households, % of Total","Households with Children, % of Total","Households with 60 years and older, % of Total",Average Household Size,Average Family Household Size,Asian,Black/African American,White,Native American Indian,Native Hawaiian/Pacific Islander,Other/Two or More Races,% Latino (of Any Race),Latino Population (of Any Race),0-4 Years,5-17 Years,18-34 Years,35-59 Years,60 and older,High School or Less,Some College/Associate Degree,College Degree,Graduate/Professional Degree,Foreign Born,English Only,Spanish Only,Asian/Pacific Islander,Other European Languages,Other Languages,% of All Households,% of Spanish-Speaking Households,% of Asian-Speaking Households,% of Other European-Speaking Households,% of Households Speaking Other Languages,Total Number of Units,Median Year Structure Built,Owner Occupied,Renter Occupied,Vacant Units,For Rent,For Sale Only,"Rented or Sold, Not Occupied","For Seasonal, Recreation or Occasional Use",Other Vacant,Median Year Moved in to Unit (Own),Median Year Moved in to Unit (Rent),Percent in Same House Last Year,Percent Abroad Last Year,"Overcrowding, Renter Occupied Housing",Single Family Housing,2-4 Units,5-9 Units,10-19 Units,20 Units or More,Other Type,No Bedroom,1 Bedroom,2 Bedrooms,3-4 Bedrooms,5 or More Bedrooms,Median Rent,Median Contract Rent,Median Rent as % of Household Income,Rent Burdened,Extremely Rent Burdened,Median Home Value,Vehicles Available,Vehicles Homeowners,Vehicles Renters,Vehicles Per Capita,Households with no Vehicle,Percent of Homeowning Households,Percent of Renting Households,Median Household Income (B19013_001),Median Family Income (B19113_001),Per Capita Income,Percent in Poverty,Household Income Less than 10000,Household Income 10000 to 14999,Household Income 15000 to 19999,Household Income 20000 to 24999,Household Income 25000 to 29999,Household Income 30000 to 34999,Household Income 35000 to 39999,Household Income 40000 to 44999,Household Income 45000 to 49999,Household Income 50000 to 59999,Household Income 60000 to 74999,Household Income 75000 to 99999,Household Income 100000 to 124999,Household Income 125000 to 149999,Household Income 150000 to 199999,Household Income Greater than 200000,Unemployment Rate,Percent Unemployment Female,Percent Unemployment Male,Employed Residents,Managerial Professional,Services,Sales and Office,Natural Resources,Production Transport Materials,Workers 16 Years and Older,Car,Drove Alone,Carpooled,Transit,Bike,Walk,Other Journey Type,Worked at Home,Population Density per Acre
1,78884.0,2765.0,0.5296511333096698,32024.0,0.5006869847614289,0.4993130152385711,0.3346864851361479,0.2207094678990757,0.3919872595553335,2.376936047964027,3.127416739428714,0.3858323614421175,0.020663252370569443,0.4647076720247452,0.0020916789209472135,0.0009000557781045586,0.12580497946351604,0.08440241367070635,6658.0,0.05283707722732113,0.09440444196541757,0.29760154150398055,0.3247553369504589,0.23040160235282187,0.14840630822464732,0.1859362523289859,0.4081381421346819,0.2575192973116849,0.30547386035190915,0.6058273997537341,0.043190213608865574,0.2631698699073826,0.07553937576958081,0.012273140960436853,0.08929814229883827,0.002208362332030623,0.06402912361475453,0.017747202741046096,0.0045505648053964344,34920.0,1939.0,0.38930177366974766,0.6106982263302523,0.0829324169530355,0.19406077348066297,0.038328729281767955,0.11843922651933701,0.1477900552486188,0.5013812154696132,1999.849276527331,2012.4788329519452,0.8395338700579458,0.010294343879801035,0.040854936851255304,0.27534364261168387,0.43132875143184424,0.13424971363115693,0.10134593356242841,0.0577319587628866,0.0,0.0665807560137457,0.2406930126002291,0.3465349369988545,0.30853379152348226,0.03765750286368843,2163.964358749635,2051.139912554653,23.80974315068493,0.3169709055581122,0.15897121235363296,1460194.5738558508,-666629397.0,2.0000850337537694,1.0000267794970943,-8450.755501749405,0.21262178366225332,0.1310660142776931,0.2646111366774045,125388.26574633304,163036.67262969588,62477.08957456519,0.08451441508643817,1002.0,1300.0,637.0,692.0,714.0,618.0,456.0,781.0,435.0,1219.0,1851.0,3292.0,2979.0,2318.0,4193.0,9537.0,0.04717849966510382,0.5199053918285331,0.5272731078365707,45517.0,0.6189555550673375,0.12652415580991716,0.18089944416371906,0.01959707362084496,0.05402377133818134,44956.0,0.4192988700062283,0.34971972595426637,0.06957914405196192,0.2770931577542486,0.03145297624343803,0.04809146721238544,0.03361064151614913,0.1904528872675505,78884.0
10,77583.0,841.0,0.49497957026668216,25814.0,0.62121329511118,0.37878670488882005,0.25691485240567136,0.29669946540636866,0.4005190981637871,2.972882931742465,3.844537291095036,0.4026655323975613,0.17007591869352823,0.219390845932743,0.0016369565497596124,0.012154724617506413,0.19407602180890143,0.19972158849232435,15495.0,0.053761777709034196,0.13508113890929713,0.2524779913125298,0.3507082737197582,0.20797081834938067,0.384587441619097,0.23037536758346308,0.2449057256530012,0.14013146514443867,0.3900983462872021,0.4708222089031766,0.15095624693510598,0.33873208739715577,0.03612488421511469,0.003364572549446957,0.12183294284313191,0.022639350514902196,0.0950798234621043,0.0017844494088159973,0.00047676129243175505,27920.0,1960.2706486234251,0.5091035872007438,0.4908964127992562,0.07542979942693409,0.1932573599240266,0.06172839506172839,0.1486229819563153,0.13247863247863248,0.46391263057929727,2003.801498127341,2013.239168618267,0.9138070509642233,0.006236789227838522,0.11734532828282829,0.5030444126074498,0.19452005730659025,0.06300143266475644,0.04699140401146132,0.18889684813753582,0.0035458452722063037,0.0667621776504298,0.15472779369627507,0.3758595988538682,0.3790830945558739,0.02356733524355301,1806.5915004336514,1629.9212598425197,28.369781078967943,0.429135101010101,0.21740845959595959,934304.5927209705,37248.0,0.6442225085910653,0.3557774914089347,0.48010517768067745,0.17405283954443326,0.07084157662456247,0.2810921717171717,99350.17165277097,96872.80393534785,50498.99075828468,0.14083097163360286,1779.0,1111.0,844.0,764.0,921.0,502.0,661.0,653.0,640.0,1207.0,1839.0,2039.0,1686.0,1963.0,2699.0,6506.0,0.06866593881390973,0.49701502938511927,0.5716509094287905,40054.0,0.44285214959804264,0.22309881659759326,0.18182953013431866,0.05222949018824587,0.09999001348179958,38953.0,0.5070469540215131,0.4000718814982158,0.10697507252329731,0.24609144353451595,0.026493466485251457,0.04941853002336149,0.03956049598233769,0.1313891099530203,77583.0
11,85396.0,998.0,0.49555014286383436,24208.0,0.7050148711169861,0.29498512888301387,0.1849801718440185,0.2975049570389954,0.5187128222075347,3.486368142762723,4.168746704165934,0.5318281886739425,0.04480303527097288,0.18654269520820646,0.0036184364607241555,0.0035130451074991804,0.22969459927865474,0.2649538620075882,22626.0,0.036172654456883224,0.1244086374069043,0.22868752634783832,0.35671460021546675,0.2540165815729074,0.4002664204296029,0.2566113137857435,0.24368386794023705,0.09943839784441652,0.4984308398519837,0.32472329206507344,0.21729622024858153,0.4334382251813333,0.01793286111752342,0.006609401387488306,0.13115530878297108,0.027069386564933722,0.10206908282406113,0.0007046788244013268,0.00017009488864859612,25342.0,1942.6474660758793,0.6911351619299405,0.3088648380700595,0.04474784941993529,0.12874779541446207,0.06966490299823633,0.12169312169312169,0.048500881834215165,0.6313932980599647,2000.5150477122584,2011.5338288057405,0.9247359932188225,0.010501406858878517,0.17975123712719004,0.8099992107963065,0.1059111356641149,0.02754320890221766,0.021939862678557336,0.032830873648488676,0.0017757083103148922,0.03381737826533028,0.08318206929208428,0.36256017678162733,0.4643279930550075,0.0561123826059506,2085.520745131245,1916.5867689357622,29.144628099173552,0.4331951317373278,0.2008827069680353,995622.7522241151,41036.0,0.7540208597329174,0.24597914026708256,0.48053773010445455,0.12822207534699273,0.08260115952423645,0.23030627256921224,108026.15933412604,111590.90909090909,39181.097475291586,0.09892965635086387,728.0,528.0,396.0,479.0,627.0,624.0,529.0,491.0,802.0,1174.0,1968.0,2948.0,2523.0,2134.0,3074.0,5183.0,0.05868193219516142,0.49712759932033335,0.561554332874828,46526.0,0.3877186949232687,0.2575119288139965,0.2044663199071487,0.04717792202209517,0.10312513433349095,45504.0,0.5319092827004219,0.4295886075949367,0.10232067510548523,0.3114451476793249,0.00832893811533052,0.014592123769338959,0.026656997187060476,0.1070675105485232,85396.0
2,69312.0,619.0,0.5238919667590027,34653.0,0.3858828961417482,0.6141171038582518,0.4369895824315355,0.15372406429457766,0.2678844544483883,1.9823103338816264,2.796515106192043,0.1455736380424746,0.018178670360110803,0.7182017543859649,0.002178554939981533,0.0018900046168051708,0.11397737765466297,0.09412511542012927,6524.0,0.0530932594644506,0.08200600184672206,0.35949042012927057,0.3200455909510619,0.18536472760849493,0.05324898552265518,0.0958304538124856,0.4953484663228962,0.355572094341963,0.18862534626038782,0.8033276450511946,0.05058508044856168,0.06885360799609946,0.07356167723061921,0.0036719892735251097,0.017369575816674792,0.0004113846903949293,0.010467454900048757,0.006140297415894685,0.0,40239.0,1939.0,0.3063226849046259,0.6936773150953741,0.13882054723029896,0.12710347296813462,0.023630504833512353,0.1774078052273541,0.33208020050125314,0.3397780164697458,2007.7036599763871,2015.2757179007592,0.7721389396709324,0.01276782449725777,0.026083700807055497,0.17142573125574692,0.23638758418449762,0.13414846293396954,0.21096448718904545,0.24598026789930166,0.001093466537438803,0.11665299833494869,0.35077909490792514,0.26106513581351426,0.23477223589055393,0.036730535053057976,2846.1428978081412,2762.4675324675327,20.058531746031747,0.2688243614277394,0.12172393709959231,2000000.003948853,34601.0,0.4376463108002659,0.5623536891997342,0.499206486611265,0.23911349666695525,0.10259067357512953,0.29940094849821114,185775.8620689655,208976.92060375505,128818.37921283471,0.04943490513960313,860.0,720.0,398.0,529.0,361.0,420.0,464.0,562.0,507.0,942.0,1180.0,2022.0,2593.0,2739.0,4234.0,16122.0,0.03314520049886909,0.524341006616357,0.5088041938825121,45651.0,0.7380999320934919,0.03704190488707805,0.20043372543865415,0.009616437756018488,0.014807999824757398,44938.0,0.33145667363923625,0.26676754639725847,0.06468912724197784,0.2541279095642886,0.02423338822377498,0.09145934398504606,0.06840535849392497,0.23031732609372912,69312.0
3,73933.0,1059.0,0.4912961735625499,40473.0,0.3434388357670546,0.6565611642329454,0.5039408988708521,0.08828107627307094,0.37044449386010425,1.8005583969559953,2.719712230215827,0.42295050924485683,0.03220483410655593,0.4421300366548091,0.004774593212773727,0.002285853407815184,0.09565417337318924,0.08490119432459119,6277.0,0.02682158170235213,0.0472319532549741,0.33730539813074,0.3231033503307048,0.26553771658122893,0.28408012151129675,0.1483450414530726,0.33801658122903616,0.22955825580659453,0.40268892105014,0.5493398193189715,0.04590687977762335,0.32860319666435023,0.06571230020847811,0.01043780403057679,0.18872828353022933,0.00778318276580959,0.16900625434329394,0.009631688672689367,0.001792911744266852,48548.0,1939.0,0.13957453116892743,0.8604254688310725,0.16633022987558704,0.33622291021671824,0.004582043343653251,0.07777089783281733,0.20755417956656347,0.37386996904024766,2009.1976427923844,2013.0030159414046,0.8192329614852211,0.021510191895339686,0.1175338846772341,0.0393631045563154,0.16066573288292,0.12682293812309467,0.14805965230287552,0.5230081568756695,0.0020804152591249896,0.3263780176320343,0.3345142951305924,0.23300650902199885,0.0941542391035676,0.011946939111806871,1705.5332184568256,1637.8923766816145,27.158905671131375,0.4162072134160349,0.20376751665518034,1260570.824524313,18699.0,-71304.76217979571,0.7013744050483983,0.252918182678912,0.5897017764929706,0.20782439369799965,0.6516482885366414,82655.2210724365,97062.35011990408,74147.60255907376,0.14895860435181507,2801.0,3130.0,1619.0,1600.0,1860.0,912.0,1261.0,995.0,729.0,2116.0,2237.0,3189.0,3210.0,2816.0,3551.0,8447.0,0.059825648566327064,0.48923432412561707,0.57059132444071,44757.0,0.5960408427731975,0.15642245905668387,0.1862055097526644,0.01854458520454901,0.04278660321290524,43787.0,0.17678763103204148,0.15123210085185101,0.025555530180190467,0.2513988170004796,0.0270856646950008,0.3365839176011145,0.045264576244090714,0.16287939342727292,73933.0
4,77261.0,426.0,0.5052355004465383,26247.0,0.6770297557816132,0.3229702442183869,0.2088619651769726,0.2549243723092163,0.48698898921781536,2.927382177010706,3.4855374226223974,0.5324419823714422,0.01349969583619161,0.32913112695926794,0.0013202003598193138,0.007015182304137922,0.11659181216914097,0.08032513169645747,6206.0,0.04612935374898073,0.10848940603926949,0.22033108554121744,0.36111362783292994,0.26393652683760244,0.26057982850142913,0.20632094732543896,0.36782360146998777,0.16527562270314414,0.4000336521660346,0.4765594257568151,0.04928287447250227,0.41513223061997095,0.04849586821715945,0.010529600933552248,0.10016689960242615,0.0018589630514132189,0.09136057098660733,0.0037586333229303773,0.0008684206955507009,27606.0,1944.5086641807413,0.6521888215796091,0.3478111784203909,0.049228428602477725,0.1949963208241354,0.0,0.32671081677704195,0.09271523178807947,0.3855776306107432,2000.1714141668767,2012.198972099853,0.9082055505444658,0.0061701766082330025,0.07229707525468287,0.73143519524741,0.18597406360936028,0.045026443526769544,0.01557632398753894,0.021517061508367748,0.00047091212055350287,0.02676954285300297,0.09820328914004202,0.3850249945663986,0.44903281895240166,0.04096935448815475,2387.710437710438,2221.027696793003,25.53170173833486,0.3571037353488882,0.17931865483623616,1262229.5081967213,44013.0,0.7048372071887852,0.2951627928112149,0.5696664552620339,0.10248790337943384,0.07722864820656619,0.14985211961879724,130631.10181311019,148678.4140969163,56094.5599979291,0.07093020228580355,678.0,557.0,600.0,647.0,626.0,450.0,573.0,363.0,644.0,988.0,1763.0,2470.0,2280.0,2151.0,3533.0,7924.0,0.06062494436036678,0.5037612392059112,0.5568637051544556,42177.0,0.5410531806434786,0.16912061075941864,0.17521397918296702,0.03639424330796406,0.07821798610617162,41033.0,0.5040820802768503,0.4036507201520727,0.10043136012477762,0.26810128433212294,0.02066629298369605,0.03809129237443034,0.03519118758072771,0.13386786245217264,77261.0
5,84471.0,1910.0,0.47945448733885004,40348.0,0.3438584316446912,0.6561415683553088,0.42586993159512243,0.12877961732923565,0.2946862298007336,2.0462228611083573,2.9185526884820527,0.2043659954303844,0.08827881758236554,0.5690236886031893,0.003942181340341655,0.0006392726497851333,0.133750044393934,0.10761089604716412,9090.0,0.045850055048478174,0.06021001290383682,0.37135821761314536,0.33551159569556416,0.1870701187389755,0.14753208151133212,0.15117608391208665,0.4112006630655349,0.29009117151104635,0.24334978868487409,0.7173378992034541,0.06244571825603613,0.12839028263728627,0.07405890965036353,0.017767190252859874,0.0612049926797191,0.00862304275540336,0.04134097620288345,0.010397280329536712,0.00017370158068438424,45290.0,1939.0,0.21775552691583225,0.7822444730841678,0.10911901081916538,0.24585188182921894,0.0,0.31485228652367464,0.16471064346418454,0.2719546742209632,2008.8848547717841,2014.5279112141793,0.8005926672425376,0.01020971302428256,0.041157087637031874,0.10326782954294546,0.269043939059395,0.1565025391918746,0.1521969529697505,0.3160300287039082,0.0029587105321262973,0.17405608302053432,0.34318834179730623,0.2709207330536542,0.19781408699492162,0.014020755133583572,2147.845030617051,2080.254703992657,23.258373679577463,0.3224130283252012,0.15930549394841897,1277966.8226286687,30101.0,0.34234743031792964,0.6576525696820703,0.35634714872559814,0.40638941211460294,0.16332802185294787,0.474051074076421,130687.67908309455,166367.4762407603,82715.03948100531,0.12029777270817074,2036.0,2291.0,893.0,1345.0,1276.0,535.0,586.0,743.0,463.0,1132.0,1636.0,3391.0,3053.0,3490.0,5106.0,12372.0,0.03582331868636067,0.4808618772830748,0.5549614414032858,54603.0,0.6917385491639654,0.1007270662784096,0.15248246433346152,0.018478838159075507,0.036573082065088,53143.0,0.25395630656906837,0.20606665035846677,0.04788965621060159,0.3202491391152174,0.06333853941252846,0.10942174886626649,0.043185367781269406,0.20984889825564984,84471.0
6,87282.0,4529.0,0.44565889874200865,44572.0,0.3366911962667145,0.6633088037332855,0.5138652068563223,0.11996320559992821,0.24228215022884322,1.856614017769003,2.8901845805290862,0.38301138837331866,0.06839898260809789,0.3768474599573795,0.009028207419628332,0.006404527852249032,0.15630943378932655,0.16157970715611467,14103.0,0.042414243486629546,0.06166219839142091,0.3662610847597443,0.36974404802823035,0.15991842533397493,0.24995766777671163,0.17948862674267652,0.31204492859965005,0.2585087768809618,0.42273320959648036,0.5085187843981814,0.12428810720268006,0.26136635558746113,0.08267528116774348,0.023151471643933955,0.1386456089973678,0.03464943766451304,0.08785594639865997,0.010014357501794687,0.005348169418521178,52732.0,1995.6849816849817,0.19788207843489186,0.8021179215651082,0.15474474702268073,0.3667892156862745,0.04963235294117647,0.10698529411764705,0.23602941176470588,0.24056372549019608,2013.7854349951124,2015.319092516205,0.7519047838936092,0.025754987070557813,0.1335309912732155,0.037908670257149356,0.031119623757869985,0.027004475460820753,0.049533490100887506,0.8539596449973451,0.00047409542592733063,0.3650534779640446,0.326082833952818,0.22189562315102784,0.07693620571948721,0.010031859212622316,1586.137111054895,1528.8288288288288,26.81588888888889,0.40515215931975834,0.17576639069142985,1167618.2707993474,20168.0,-198333.66203887347,0.6677905593018644,0.23106711578561445,0.5677555415956206,0.22414965986394558,0.6525229357798165,94839.58252802474,129726.4355362947,80048.42350083638,0.16583676372838269,3067.0,4656.0,1682.0,1053.0,1281.0,1002.0,1530.0,1091.0,709.0,1759.0,2403.0,2587.0,2651.0,2438.0,4330.0,12333.0,0.06978977510825535,0.43501187316664336,0.634777901941612,53241.0,0.6248192182716328,0.15551924268890516,0.13602298980109315,0.022595368231250353,0.06104318100711857,51935.0,0.16844132088187158,0.148859150861654,0.01958217002021758,0.27062674496967365,0.03261769519591797,0.3128718590545875,0.03571772407817464,0.17972465581977473,87282.0
7,73689.0,4381.0,0.5093976034414905,27239.0,0.6186717574066596,0.3813282425933404,0.27218326663974446,0.2396196629832226,0.46686735930100226,2.544439957414002,3.1100759553762165,0.3464017695992618,0.039273161530214824,0.46035364844142274,0.0027683914831250255,0.001099214265358466,0.15010381468061718,0.11748022092849679,8657.0,0.0374818493940751,0.1130426522276052,0.26503277286976346,0.3122718451872057,0.27217088032135056,0.1420213250706279,0.18512713022874328,0.3741365169051308,0.298715027795498,0.29876915143372823,0.6203138438112425,0.06740733430146488,0.2200713409561944,0.08321231688919593,0.008995164041902237,0.05649470582429822,0.008078728833871446,0.04054873320456244,0.007232788641843022,0.00039477208961326434,29370.0,1947.7998717126363,0.6174969712544514,0.38250302874554865,0.07255703098399728,0.24495541999061474,0.02299389957766307,0.3580478648521821,0.07414359455654622,0.2998592210229939,2000.3873517786562,2015.0420445177247,0.8419816794309976,0.011999836179710857,0.047413379403013725,0.6917262512768131,0.09298604017705141,0.024821246169560777,0.03697650663942799,0.15212802179094315,0.001361933946203609,0.045624787197820905,0.1320394960844399,0.28018386108273746,0.4828736806264896,0.05927817500851209,2556.610664718773,2421.7491369390104,25.33288793103448,0.37124484115558115,0.23533928400038392,1540882.4124671118,43115.0,-30924.334384784877,0.28899454946074454,0.5850941117398798,0.10697896398546203,0.050237812128418546,0.1985795181879259,144734.13631022326,179001.1797090051,74337.32035989089,0.07216316653703224,1125.0,533.0,527.0,468.0,556.0,486.0,499.0,630.0,778.0,851.0,1155.0,2820.0,1848.0,1702.0,3433.0,9828.0,0.057717861370829404,0.4898407866444396,0.5678770747263898,39002.0,0.6431977847289883,0.10894313112148095,0.17927285780216398,0.021050202553715196,0.047536023793651606,37986.0,0.4820986679302901,0.39696203864581686,0.08513662928447323,0.21697467488021902,0.01697993997788659,0.046780392776286,0.03077449586689833,0.20639182856841995,73689.0
8,74845.0,520.0,0.43830583205290935,36235.0,0.40444321788326204,0.595556782116738,0.3886021802125017,0.14999310059334897,0.28149579136194286,2.0511935973506277,2.8384851586489255,0.14687687888302492,0.03288128799519006,0.6583739728772797,0.010635312980158995,0.0020843075689758834,0.14914823969537044,0.1284521344111163,9614.0,0.03839935867459416,0.0849622553276772,0.2664707061259937,0.4294608858307168,0.1807067940410181,0.08335326286251814,0.1375775258685289,0.4095119656893226,0.36955724557963043,0.22224597501503107,0.7648080476858735,0.08982784732739575,0.06627669477984188,0.0669992080143391,0.012088202192549777,0.01913270622889775,0.008044906976421058,0.007655861388614859,0.003251309555237526,0.00018062830862430702,40147.0,1939.0,0.42022906030081414,0.5797709396991859,0.09744190101377438,0.29141104294478526,0.024539877300613498,0.4138548057259714,0.14084867075664623,0.12934560327198363,2006.9626524390244,2014.0232211333616,0.841798849103136,0.01180545260973276,0.03984196496572734,0.28953595536403715,0.3364884051112163,0.1597628714474307,0.09084115874162453,0.12160310857598326,0.0017685007597080728,0.08630781876603483,0.29451764764490496,0.3180810521334097,0.27954766234089723,0.02154581911475328,2439.48575171962,2351.7352841102415,21.288628158844766,0.30193259710586445,0.1341869763899467,1555135.7186921653,38022.0,0.5453158697596129,0.4546841302403871,0.5080098871000067,0.24846143231682075,0.09936297366519997,0.3565308453922315,176041.8951524457,205013.09344302554,108967.82951432961,0.07039897212147168,1096.0,1013.0,486.0,786.0,530.0,582.0,438.0,440.0,527.0,1163.0,1444.0,2326.0,2542.0,2370.0,4559.0,15933.0,0.040065177801207705,0.4297325793156331,0.6103325984855746,50029.0,0.7770293229926643,0.06951967858641987,0.11517319954426433,0.012332846948769714,0.025944951927881828,48829.0,0.2819431075795122,0.24501832927153946,0.03692477830797272,0.32495033688996294,0.04714411517745602,0.05480349792131725,0.03927993610354502,0.2518790063282066,74845.0
