Category,Attribute,North Beach,Russian Hill,Financial District,Chinatown,Nob Hill,Tenderloin,Marina,Pacific Heights,Presidio Heights,Western Addition,Japantown,Lone Mountain/USF,Hayes Valley,Haight Ashbury,Castro/Upper Market,South of Market,Mission,Treasure Island,Twin Peaks,Noe Valley,Glen Park,Potrero Hill,Bayview Hunters Point,Bernal Heights,Outer Mission,Excelsior,Portola,Visitacion Valley,Inner Sunset,West of Twin Peaks,Oceanview/Merced/Ingleside,Sunset/Parkside,Lakeshore,Inner Richmond,Outer Richmond,Seacliff,Presidio,Mission Bay,Lincoln Park,Golden Gate Park,McLaren Park,sf
Educational Attainment,High School or Less,0.249847716,0.142460513,0.082992281,0.68143425,0.180311335,0.389675669,0.056790123,0.068013334,0.077354807,0.186581677,0.22161004,0.124039604,0.141488361,0.068454079,0.070860994,0.257819996,0.225350064,0.246849943,0.164821124,0.088404561,0.087697161,0.109536512,0.466857226,0.243187408,0.417951089,0.430489035,0.436960555,0.515872462,0.11990803,0.131743746,0.385140331,0.257774858,0.187220844,0.148131673,0.189056264,0.06712963,0.087321885,0.160042446,0.427027027,0,1,0.23030973
Educational Attainment,Some College/Associate Degree,0.154517766,0.108218164,0.100709734,0.111543557,0.167857926,0.221207165,0.087145969,0.121399075,0.108223524,0.182800346,0.180593817,0.114851485,0.144133553,0.134753122,0.145443573,0.216129342,0.169194332,0.351660939,0.187677456,0.135564318,0.139747634,0.12204068,0.25909979,0.194638465,0.228935471,0.278453491,0.279099782,0.257099002,0.113530866,0.184287197,0.247885429,0.213112446,0.278287841,0.172931495,0.217919173,0.106481481,0.078187797,0.133224002,0.124324324,0,0,0.182042135
Educational Attainment,College Degree,0.336548223,0.431453603,0.354504481,0.13862206,0.403113352,0.250568476,0.531784072,0.435394796,0.476207906,0.356309421,0.346495256,0.488079208,0.44139431,0.480319452,0.421846711,0.311840338,0.385943408,0.313287514,0.364707553,0.380528616,0.360252366,0.427892631,0.189955858,0.297442204,0.253545006,0.222460297,0.195208518,0.173166818,0.417986205,0.367100901,0.248798539,0.36354108,0.353349876,0.403525356,0.368557136,0.361689815,0.443551334,0.358865522,0.216216216,0.71875,0,0.35043032
Educational Attainment,Graduate/Professional Degree,0.259086294,0.31786772,0.461793504,0.068400132,0.248717387,0.13854869,0.324279835,0.375192796,0.338213763,0.274308557,0.251300888,0.273029703,0.272983776,0.316473347,0.361848723,0.214210324,0.219512195,0.088201604,0.282793867,0.395502505,0.412302839,0.340530177,0.084087126,0.264731923,0.099568434,0.068597177,0.088731145,0.053861718,0.348574899,0.316868156,0.118175702,0.165571616,0.181141439,0.275411477,0.224467427,0.464699074,0.390938984,0.34786803,0.232432432,0.28125,0,0.237217816
Nativity,Foreign Born,0.357549858,0.254756813,0.396202587,0.739832285,0.302625062,0.427168136,0.150281903,0.195591366,0.198085208,0.382797435,0.352924945,0.219942363,0.204208295,0.150304989,0.180655199,0.429134172,0.301622621,0.307788945,0.22483887,0.242708149,0.194476543,0.2034355,0.412837838,0.27362423,0.535178122,0.490751586,0.498676353,0.511345912,0.284088123,0.290450825,0.481653558,0.399184213,0.378549555,0.298378236,0.340080883,0.183360927,0.156150258,0.363540885,0.394594595,0.3125,1,0.342381662
Language Spoken at Home,English Only,0.5981422,0.729626723,0.561947915,0.196368334,0.677499805,0.484909808,0.846621044,0.801781737,0.782749873,0.591888642,0.617069062,0.696263367,0.779808253,0.836778332,0.814948684,0.523834832,0.594978751,0.589067524,0.747790962,0.767198705,0.749814494,0.756729596,0.441783284,0.599397715,0.280484747,0.329894294,0.360594796,0.300148195,0.630946216,0.644351122,0.363334858,0.481975676,0.488080922,0.607663551,0.570795439,0.821256039,0.818967922,0.552456624,0.605405405,0.6875,0,0.574020242
Language Spoken at Home,Spanish Only,0.050785658,0.026790719,0.044029475,0.024043637,0.044774375,0.146680158,0.03635586,0.04467444,0.062912227,0.057991121,0.07046603,0.058933077,0.082048837,0.029716541,0.046943329,0.098119379,0.274293775,0.180385852,0.097323908,0.075503123,0.089537472,0.061517479,0.190995077,0.247019512,0.227329712,0.240842607,0.154916036,0.169736424,0.061700081,0.054429931,0.134034767,0.04320187,0.163613214,0.047616822,0.032477725,0.035133948,0.090376569,0.090319442,0.102702703,0.15625,0,0.105823557
Language Spoken at Home,Asian/Pacific Islander,0.284573314,0.178343235,0.259050757,0.76178856,0.205206141,0.253794355,0.049016253,0.092886152,0.08361238,0.210738069,0.270915216,0.139432897,0.064569098,0.053456878,0.056046408,0.294194603,0.074604478,0.094212219,0.090002525,0.068424705,0.068884492,0.11700524,0.351651087,0.107008787,0.471207689,0.403254835,0.464235354,0.484439505,0.213434934,0.220664831,0.474077463,0.406693464,0.188370942,0.284579439,0.288537002,0.113306983,0.036262204,0.227987676,0.237837838,0.15625,1,0.249189494
Language Spoken at Home,Other European Languages,0.060248285,0.062605089,0.128060781,0.016651116,0.05856909,0.082620983,0.062788708,0.055111577,0.066362253,0.111080281,0.041549691,0.094917698,0.057418295,0.072920665,0.064346274,0.071790679,0.046891182,0.109967846,0.058444837,0.085311127,0.074944348,0.060584308,0.012196471,0.041211171,0.015169244,0.023524044,0.019100115,0.04408807,0.090367685,0.070355322,0.017040256,0.05247409,0.151446559,0.053130841,0.091708601,0.03030303,0.053835425,0.06656397,0.054054054,0,0,0.060226978
Language Spoken at Home,Other Languages,0.006250543,0.002634234,0.006911071,0.001148353,0.013950588,0.031994697,0.005218135,0.005546094,0.004363267,0.028301887,0,0.010452962,0.016155517,0.007127584,0.017715306,0.012060507,0.009231813,0.026366559,0.006437768,0.003562341,0.016819194,0.004163377,0.00337408,0.005362815,0.005808608,0.00248422,0.001153698,0.001587806,0.003551084,0.010198795,0.011512656,0.015654899,0.008488364,0.007009346,0.016481234,0,0.00055788,0.062672288,0,0,0,0.01073973
Linguistic Isolation,% of All Households,0.158347079,0.057953144,0.051306696,0.551281131,0.09473151,0.202784271,0.015141146,0.019083803,0.039878234,0.109507954,0.228523302,0.057070768,0.030668997,0.00586655,0.004997769,0.143254293,0.083068462,0.064630225,0.029033072,0.016655101,0.025476132,0.029000072,0.15205487,0.048059073,0.155787714,0.117848361,0.14568645,0.132846406,0.056262484,0.048621527,0.160224154,0.105628829,0.080215039,0.066168224,0.106227783,0.035573123,0.012273361,0.115858602,0,0,0.91503268,0.09571093
Linguistic Isolation,% of Spanish-Speaking Households,0.006337356,0.004427755,0.006316079,0.012560109,0.003974749,0.037891211,0,0.002882222,0,0.012948576,0,0.009972366,0.011970973,0,0.000981705,0.024039248,0.062158494,0.022829582,0.017041151,0.006060606,0.005070492,0.00638863,0.041042093,0.033125696,0.020768909,0.039544729,0.019228304,0.017148301,0.003994969,0.001472553,0.020394937,0.00106592,0.033529037,0.001915888,0.002608374,0,0,0.018404411,0,0,0,0.0162185
Linguistic Isolation,% of Asian-Speaking Households,0.141852591,0.049489967,0.033182297,0.534055839,0.082417582,0.131328286,0.006629598,0.011703568,0.027701674,0.065482797,0.215328467,0.035804397,0.015149107,0.00180931,0.001606426,0.107808667,0.017570801,0.003858521,0.008709922,0.010178117,0.007296562,0.017514895,0.109408706,0.013737057,0.130881738,0.077010824,0.121330599,0.113157616,0.045646223,0.041422377,0.138952425,0.094802676,0.033033883,0.058317757,0.071649508,0.035573123,0,0.089265445,0,0,0.91503268,0.070642385
Linguistic Isolation,% of Other European-Speaking Households,0.006163729,0.004035422,0.011167559,0.003516831,0.005962123,0.021771746,0.008511548,0.003318922,0.01217656,0.024047355,0.013194834,0.011294005,0.002807352,0.00405724,0.002409639,0.009607522,0.002678476,0.037942122,0.003281999,0.000416378,0.011006678,0.003014859,0.001493445,0.00119632,0.000501463,0.000405587,0.001089604,0.00084683,0.006621292,0.005726596,0.00026685,0.006215727,0.013652119,0.000514019,0.026014496,0,0.012273361,0.008188747,0,0,0,0.006837093
Linguistic Isolation,% of Households Speaking Other Languages,0,0,0.000640762,0,0.002377056,0.010816092,0,0,0,0.005688124,0,0,0.000741565,0,0,0.000572363,0.000535695,0,0,0,0.002102399,0,0,0,0.000459674,0,0,0,0,0,0,0.00148972,0,0.003551402,0.005216749,0,0,0,0,0,0,0.001211122
Housing,Total Number of Units,7412,11081,15240,7537,17632,20473,14190,14916,5505,13174,2459,6817,10817,9025,12697,14623,25754,697,3789,11609,3710,7531,12747,9993,6786,11791,5052,5372,12985,14787,8543,29034,5356,9465,20654,1025,1346,6842,0,25,122,398613
Housing,Median Year Structure Built,1949.974359,1939,2003.073585,1939,1939,1939,1939,1939,1939,1969.441417,1970.159774,1939,1939,1939,1939,1995.456592,1939,1958.867403,1963.560534,1939,1952.888889,1971.626984,1965,1939,1939,1942.425044,1952.631058,1952.065217,1943.794248,1939,1945.601998,1945.078001,1956.211813,1939,1939,1939,1941.783439,2007.171523,0,1991.071429,2004.299065,1944.033544
Housing,Owner Occupied,0.169467343,0.250598896,0.375950531,0.067249296,0.142660099,0.029919257,0.277509352,0.290902022,0.381677879,0.200529055,0.108564014,0.310574786,0.196721311,0.268524151,0.427813071,0.180638098,0.248438644,0,0.432066782,0.500979386,0.61891516,0.467323576,0.529516238,0.562241567,0.656518463,0.697505749,0.663742093,0.567424242,0.403526198,0.788810697,0.715481172,0.641632447,0.049053531,0.358885017,0.405584826,0.737327189,0.02276176,0.315086562,0,0,0,0.380180648
Housing,Renter Occupied,0.830532657,0.749401104,0.624049469,0.932750704,0.857339901,0.970080743,0.722490648,0.709097978,0.618322121,0.799470945,0.891435986,0.689425214,0.803278689,0.731475849,0.572186929,0.819361902,0.751561356,1,0.567933218,0.499020614,0.38108484,0.532676424,0.470483762,0.437758433,0.343481537,0.302494251,0.336257907,0.432575758,0.596473802,0.211189303,0.284518828,0.358367553,0.950946469,0.641114983,0.594415174,0.262672811,0.97723824,0.684913438,0,1,1,0.619819352
Housing,Vacant Units,0.148947652,0.133561953,0.21476378,0.104285525,0.136513158,0.116787965,0.095701198,0.137838563,0.081925522,0.110444816,0.059780399,0.076133196,0.114634372,0.089307479,0.094983067,0.125487246,0.098508969,0.073170732,0.083135392,0.076492377,0.030997305,0.083654229,0.072409194,0.080356249,0.022251695,0.041133068,0.029889153,0.017125838,0.069618791,0.039020761,0.048811893,0.043810705,0.082710978,0.060010565,0.081049676,0.153170732,0.020802377,0.113563286,0,0,0,0.091497267
Housing,For Rent,0.231884058,0.224324324,0.202566453,0.39821883,0.376817615,0.458803848,0.108247423,0.168287938,0.128603104,0.197938144,0.360544218,0.165703276,0.374193548,0.126550868,0.267827529,0.529155313,0.30350808,0.745098039,0.311111111,0.109234234,0.069565217,0.29047619,0.054171181,0.115815691,0.052980132,0.129896907,0.317880795,0.108695652,0.076327434,0.031195841,0.263788969,0.132075472,0.505643341,0.133802817,0.163679809,0,0,0.294723295,0,0,0,0.247861373
Housing,For Sale Only,0,0.043243243,0.076688054,0,0.013294558,0,0.02724595,0,0.031042129,0.018556701,0,0,0.021774194,0,0.005804312,0.04359673,0.027197477,0,0.104761905,0,0,0.042857143,0.058504875,0.03860523,0,0,0.119205298,0,0,0.071057192,0.057553957,0.006289308,0,0.077464789,0.072879331,0.127388535,0,0.054054054,0,0,0,0.029392411
Housing,"Rented or Sold, Not Occupied",0,0.053378378,0.12832264,0.077608142,0.099709182,0.072354663,0.177466863,0.232003891,0.587583149,0.307216495,0,0.161849711,0.308870968,0.400744417,0.49668325,0.09373297,0.29601892,0,0.434920635,0.425675676,0,0.095238095,0.149512459,0.481942715,0,0.115463918,0,0,0.348451327,0.443674177,0.011990408,0.451257862,0.205417607,0.23415493,0.179808841,0.108280255,0,0.191763192,0,0,0,0.211449879
Housing,"For Seasonal, Recreation or Occasional Use",0.322463768,0.314189189,0.477849068,0.086513995,0.21354383,0.051861146,0.308541973,0.316634241,0.059866962,0.163573883,0.333333333,0.146435453,0.064516129,0.378411911,0.135986733,0.102997275,0.162790698,0,0.088888889,0.275900901,0.069565217,0.192063492,0.093174431,0.069738481,0,0.045360825,0,0.326086957,0.282079646,0.103986135,0.047961631,0.095125786,0.058690745,0.205985915,0.083034648,0.50955414,0,0.092664093,0,0,0,0.197082694
Housing,Other Vacant,0.445652174,0.364864865,0.114573786,0.437659033,0.296634815,0.416980343,0.378497791,0.28307393,0.192904656,0.312714777,0.306122449,0.500963391,0.230645161,0.094292804,0.093698176,0.230517711,0.210484825,0.254901961,0.06031746,0.189189189,0.860869565,0.379365079,0.644637053,0.293897883,0.947019868,0.709278351,0.562913907,0.565217391,0.293141593,0.350086655,0.618705036,0.315251572,0.230248307,0.348591549,0.500597372,0.25477707,1,0.366795367,0,0,0,0.313857206
Housing,Median Year Moved in to Unit (Own),2007.72541,2008.423326,2012.878615,2006.623377,2006.430155,2011.376404,2006.517324,2008.197816,2007.418953,2008.142857,2005.740741,2005.426195,2011.196213,2006.778017,2006.042356,2012.946565,2006.382979,0,2002.432836,2005.681208,2002.05,2007.613982,2003.002505,2002.584541,2001.524449,1997.338129,1998.757503,1997.606112,1998.914894,1998.557226,2000.762445,1999.208132,2013.375,1997.539405,1996.47467,2002.108108,2005,2013.099138,0,0,0,2003.25282
Housing,Median Year Moved in to Unit (Rent),2012.078264,2012.475233,2015.703714,2009.669397,2013.059027,2013.032831,2014.694996,2013.884208,2013.43078,2012.771164,2013.781071,2012.830113,2013.622449,2013.957644,2012.733645,2014.856128,2012.372149,2013.74359,2011.833333,2014.231283,2011.372549,2015.297596,2011.466097,2012.199232,2010.647993,2009.454383,2012.140741,2010.605493,2014.136922,2014.029018,2012.016461,2011.683001,2012.222832,2012.309603,2011.26525,2013.409091,2014.91358,2015.386213,0,2008.928571,2006.30137,2013.04497
Housing,Percent in Same House Last Year,0.875756557,0.805330243,0.722892627,0.933553186,0.78780013,0.835177478,0.771000405,0.816572536,0.832346374,0.832492568,0.831953642,0.715349703,0.821055328,0.795350812,0.834029773,0.731044121,0.852515435,0.730453972,0.820732464,0.847278563,0.912365087,0.858927713,0.943391764,0.899054602,0.904527761,0.928226971,0.964214464,0.92614558,0.816149862,0.904466436,0.945855541,0.913533881,0.629536572,0.87919165,0.871798281,0.93572621,0.701957754,0.70852429,0.810810811,0.71875,1,0.853536845
Housing,Percent Abroad Last Year,0.032868191,0.025989075,0.032810711,0.005823744,0.018170019,0.016546543,0.013365735,0.012475765,0.014367537,0.021529592,0.009381898,0.025078552,0.007633197,0.01379896,0.027988161,0.019884208,0.012313439,0.003783102,0.010676598,0.011545491,0.006217738,0.01304318,0.003994639,0.007486012,0.024257324,0.003916673,0.004738155,0.001824818,0.008089122,0.013666352,0.008086749,0.007535981,0.019821329,0.013191206,0.005849508,0.002504174,0.012107161,0.045753132,0.032432432,0,0,0.013300671
Structure Type,Single Family Housing,0.059363195,0.065427308,0.05144357,0.017646278,0.0353902,0.009280516,0.127343199,0.142397426,0.271752952,0.04486109,0.079300529,0.122487898,0.071461588,0.150914127,0.216350319,0.045955002,0.143589345,0.344332855,0.370018475,0.406925661,0.639892183,0.262647723,0.603985251,0.57180026,0.810786914,0.827665168,0.832343626,0.749069248,0.415864459,0.878541963,0.804167154,0.72494317,0.132374907,0.237717908,0.333107388,0.772682927,0.252600297,0.011254019,0,0.12,0,0.311522705
Structure Type,2-4 Units,0.265245548,0.292843606,0.000918635,0.130555924,0.100896098,0.014409222,0.320718816,0.149772057,0.313714805,0.097768332,0.147620984,0.435528825,0.254876583,0.391246537,0.403638655,0.055118649,0.320066786,0.420373027,0.116125627,0.353604962,0.234770889,0.279776922,0.14866243,0.328029621,0.120837017,0.082774998,0.106492478,0.114110201,0.299576434,0.05511598,0.109329275,0.179341462,0.115384615,0.472900158,0.410719473,0.145365854,0.515601783,0.010230927,0,0.56,0,0.208630928
Structure Type,5-9 Units,0.223826228,0.204223446,0.006692913,0.108398567,0.125397005,0.023152445,0.135236082,0.173370877,0.116076294,0.108015789,0.036193575,0.189086108,0.175279652,0.217174515,0.145546192,0.058948232,0.1703813,0.182209469,0.13064133,0.112498923,0.02425876,0.044084451,0.068408253,0.032722906,0.014588859,0.0340938,0.015637371,0.083953835,0.119753562,0.017380131,0.008779117,0.052593511,0.037714712,0.141362916,0.11232691,0.033170732,0.043090639,0,0,0,0,0.096261286
Structure Type,10-19 Units,0.077846735,0.196191679,0.012992126,0.175401353,0.216764973,0.067063938,0.27653277,0.183494234,0.166394187,0.122286322,0.099633998,0.145811941,0.159656097,0.16565097,0.102071355,0.078711619,0.11070125,0.041606887,0.236737926,0.038160048,0.015902965,0.095737618,0.023848749,0.02041429,0.024167403,0.041133068,0.019200317,0.026433358,0.089333847,0.017041996,0.002575208,0.019356616,0.095780433,0.123613312,0.090781447,0.048780488,0,0.008769366,0,0.16,0,0.094392305
Structure Type,20 Units or More,0.36724231,0.241313961,0.927952756,0.564017514,0.521551724,0.882821277,0.138830162,0.350227943,0.132061762,0.625929862,0.637250915,0.107085228,0.33743182,0.069916898,0.128140506,0.761266498,0.246835443,0.011477762,0.143573502,0.087259885,0.085175202,0.31284026,0.151878873,0.04132893,0.029619805,0.010940548,0.026326207,0.021779598,0.072853292,0.031040779,0.074446916,0.023524144,0.617438387,0.024405705,0.053064782,0,0.167161961,0.969745688,0,0.16,1,0.287070417
Structure Type,Other Type,0.006475985,0,0,0.003980364,0,0.003272603,0.001338971,0.000737463,0,0.001138606,0,0,0.001294259,0.005096953,0.004252973,0,0.008425876,0,0.002903141,0.001550521,0,0.004913026,0.003216443,0.005703993,0,0.003392418,0,0.00465376,0.002618406,0.000879151,0.000702329,0.000241097,0.001306945,0,0,0,0.021545319,0,0,0,0,0.002122359
Unit Size,No Bedroom,0.206556935,0.103059291,0.223097113,0.533766751,0.325090744,0.638352953,0.129034531,0.165124698,0.059400545,0.179292546,0.259861732,0.092562711,0.20347601,0.072132964,0.097660865,0.37598304,0.172206259,0,0.114278174,0.047893875,0.025067385,0.137033594,0.036714521,0.045331732,0.041261421,0.025951997,0.030087094,0.017125838,0.088409704,0.013998783,0.030668383,0.020734311,0.105302465,0.060010565,0.062312385,0,0.030460624,0.117217188,0,0,0,0.151828967
Unit Size,1 Bedroom,0.364678899,0.385705261,0.320734908,0.182698686,0.385265426,0.274459044,0.36286117,0.378318584,0.277384196,0.41263094,0.459943066,0.302332404,0.321715818,0.31534626,0.321178231,0.337482049,0.269356217,0.024390244,0.274742676,0.267292618,0.141239892,0.231708936,0.120263591,0.171520064,0.084880637,0.084471207,0.092834521,0.082650782,0.249056604,0.040102793,0.095633852,0.099607357,0.318894698,0.231061807,0.22615474,0.030243902,0.09435364,0.359105525,0,0.44,1,0.250591426
Unit Size,2 Bedrooms,0.310847275,0.324790181,0.356167979,0.189465304,0.207123412,0.052605871,0.287455955,0.233507643,0.275930972,0.268635191,0.184627898,0.350300719,0.318849958,0.253518006,0.310073246,0.202899542,0.315368486,0.241032999,0.315386646,0.311568611,0.378706199,0.360509892,0.366596062,0.363854698,0.351458886,0.350436774,0.375890736,0.388495905,0.308586831,0.263001285,0.366381833,0.37948612,0.410567588,0.327522451,0.35707369,0.203902439,0.22808321,0.445483777,0,0.56,0,0.300845682
Unit Size,3-4 Bedrooms,0.112924987,0.177962278,0.096325459,0.064879926,0.079514519,0.020026376,0.194221283,0.188522392,0.314259764,0.132913314,0.095567304,0.231773507,0.15198299,0.329972299,0.247144995,0.070642139,0.225712511,0.675753228,0.288202692,0.350073219,0.44097035,0.26463949,0.442613948,0.399479636,0.44282346,0.49342719,0.454077593,0.470960536,0.334077782,0.596605126,0.465761442,0.45711924,0.16523525,0.344004226,0.321196863,0.63804878,0.625557207,0.078193511,0,0,0,0.27044276
Unit Size,5 or More Bedrooms,0.004991905,0.008482989,0.003674541,0.029189333,0.003005898,0.014555756,0.026427061,0.034526683,0.073024523,0.00652801,0,0.023030659,0.003975224,0.029030471,0.023942664,0.01299323,0.017356527,0.058823529,0.007389813,0.023171677,0.014016173,0.006108087,0.033811877,0.01981387,0.079575597,0.045712832,0.047110055,0.04076694,0.01986908,0.086292013,0.041554489,0.043052972,0,0.037400951,0.033262322,0.127804878,0.021545319,0,0,0,0,0.026291165
Housing Prices,Median Rent,1864.09396,2331.997863,2852.377301,771.0207612,1873.75595,1020.560408,2672.669492,2563.561989,2377.408994,1560.019841,1569.844789,2140.17094,2260.228167,2486.782902,2248.323755,1397.252322,1936.318277,2158.959538,2367.088608,2591.25222,1991.324921,3017.631103,1179.409385,1972.082811,1777.704485,1807.805596,1860.817942,1380.608974,2449.131514,3017.612524,2336.283186,2278.534371,2058.027923,2257.098492,1944.456569,2273.584906,3498.697917,2750,0,844.6428571,277.3255814,2010.40948
Housing Prices,Median Contract Rent,1810.308183,2270.247469,2820.278184,740.9459459,1804.843032,985.2785146,2636.351052,2522.687095,2299.707602,1514.056225,1569.844789,2022.123894,2223.877709,2356.693364,2181.299603,1365.857947,1856.288187,2158.959538,2241.37931,2420.876085,1839.608434,2962.431694,1066.977612,1899.188514,1608.490566,1543.010753,1756.802721,1288.919414,2356.192851,2710.280374,2224.719101,2129.274145,1923.076923,2147.884459,1879.931193,2273.584906,3363.509749,2569.092827,0,844.6428571,257.6086957,1930.857082
