tract,Total Population,Group Quarter Population,Percent Female,Housholds,Family Households,Non-Family Households,"Single Person Households, % of Total","Households with Children, % of Total","Households with 60 years and older, % of Total",Average Household Size,Average Family Household Size,Asian,Black/African American,White,Native American Indian,Native Hawaiian/Pacific Islander,Other/Two or More Races,% Latino (of Any Race),0-4 Years,5-17 Years,18-34 Years,35-59 Years,60 and older,High School or Less,Some College/Associate Degree,College Degree,Graduate/Professional Degree,Foreign Born,English Only,Spanish Only,Asian/Pacific Islander,Other European Languages,Other Languages,% of All Households,% of Spanish-Speaking Households,% of Asian-Speaking Households,% of Other European-Speaking Households,% of Households Speaking Other Languages,Total Number of Units,Median Year Structure Built,Owner Occupied,Renter Occupied,Vacant Units,For Rent,For Sale Only,"Rented or Sold, Not Occupied","For Seasonal, Recreation or Occasional Use",Other Vacant,Median Year Moved in to Unit (Own),Median Year Moved in to Unit (Rent),Percent in Same House Last Year,Percent Abroad Last Year,Single Family Housing,2-4 Units,5-9 Units,10-19 Units,20 Units or More,Other Type,No Bedroom,1 Bedroom,2 Bedrooms,3-4 Bedrooms,5 or More Bedrooms,Median Rent,Median Contract Rent,Median Rent as % of Household Income,Median Home Value,Vehicles Available,Vehicles Homeowners,Vehicles Renters,Vehicles Per Capita,Households with no Vehicle,Percent of Homeowning Households,Percent of Renting Households,Median Household Income (B19013_001),Median Family Income (B19113_001),Per Capita Income,Percent in Poverty,Unemployment Rate,Percent Unemployment Female,Percent Unemployment Male,Employed Residents,Managerial Professional,Services,Sales and Office,Natural Resources,Production Transport Materials,Workers 16 Years and Older,Car,Drove Alone,Carpooled,Transit,Bike,Walk,Other Journey Type,Worked at Home
12002,2202,121,0.356039964,1273,0.262372349,0.737627651,0.493322859,0.0290652,0.191673213,1.634721131,2.221556886,0.291099001,0.09582198,0.440054496,0.004541326,0,0.168483197,0.19346049,0,0.016348774,0.494096276,0.365122616,0.124432334,0.18373812,0.104012672,0.464625132,0.247624076,0.371480472,0.619891008,0.051771117,0.184377838,0.143960036,0,0.211625795,0.017257039,0.163033606,0.03133515,0,1510,1946.162791,0.125687353,0.874312647,0.156953642,0.506329114,0,0,0.139240506,0.35443038,2012.666667,2015.366594,0.722070845,0.03133515,0,0.109271523,0.01986755,0.140397351,0.730463576,0,0.535099338,0.286754967,0.174172185,0.00397351,0,1767.045455,1672.374429,29.62923077,1733333.333,,,,,0.702278083,0.0625,0.794249775,61875,103688.5246,51518.25613,0.198001817,0.111695138,0.459264126,0.652431012,1352,0.605769231,0.187869822,0.170857988,0,0.035502959,1292,0.271671827,0.179566563,0.092105263,0.25,0.131578947,0.171052632,0.056501548,0.119195046
12100,3846,494,0.505720229,2275,0.148131868,0.851868132,0.653626374,0.050989011,0.112087912,1.473406593,2.81305638,0.304732189,0.041081643,0.504160166,0.000520021,0,0.14950598,0.124544982,0.017160686,0.036661466,0.549401976,0.321892876,0.074882995,0.135198921,0.168914363,0.492582603,0.203304113,0.235309412,0.656613757,0.045767196,0.215608466,0.080952381,0.001058201,0.04021164,0,0.035978836,0.004232804,0,2604,1939,0.075604396,0.924395604,0.126344086,0.589665653,0,0.11550152,0.14893617,0.145896657,2015.830189,2015.566921,0.653406136,0.035361414,0,0.037634409,0.035330261,0.207373272,0.719662058,0,0.526113671,0.375960061,0.088709677,0.006912442,0.002304147,1964.836224,1929.270463,28.78015075,696428.5714,,,,,0.732747253,0.610465116,0.742748455,90518.86792,165340.9091,70034.16537,0.126789976,0.06505848,0.528874269,0.536184211,2558,0.702892885,0.10398749,0.130179828,0.023064894,0.039874902,2539,0.116975187,0.092162269,0.024812918,0.243009059,0.038991729,0.370618354,0.087042143,0.143363529
12202,2821,546,0.383551932,1565,0.189776358,0.810223642,0.745686901,0.049840256,0.317571885,1.453674121,2.797979798,0.289613612,0.130804679,0.398085785,0.026231833,0,0.155264091,0.125487416,0.017724211,0.036866359,0.214108472,0.511875222,0.219425736,0.307966706,0.295283393,0.304399524,0.092350377,0.335696562,0.626488632,0.090941898,0.175748827,0.100324792,0.00649585,0.102129195,0.01984843,0.040057741,0.042223024,0,1663,1939,0.128434505,0.871565495,0.058929645,0.520408163,0,0,0,0.479591837,2017.22093,2014.381068,0.641616448,0.012761432,0.016837041,0.036079375,0.057726999,0.058328322,0.831028262,0,0.521346963,0.358989778,0.081178593,0.009621167,0.0288635,1271.666667,1248.046875,42.18,1571839.08,540,0.235185185,0.764814815,0.191421482,0.687539936,0.422885572,0.726539589,43349.0566,72201.49254,48606.09713,0.278624601,0.164401294,0.381877023,0.782524272,1277,0.411119812,0.277212216,0.169146437,0.020360219,0.122161316,1246,0.128410915,0.096308186,0.032102729,0.271268058,0.006420546,0.406099518,0.057784912,0.130016051
12203,1834,0,0.262268266,1122,0.222816399,0.777183601,0.602495544,0.14973262,0.406417112,1.634581105,2.636,0.1782988,0.094874591,0.56870229,0.003816794,0,0.154307525,0.109051254,0.061068702,0.057797165,0.182115594,0.439476554,0.259541985,0.335517693,0.290301442,0.224770642,0.149410223,0.19302072,0.68873403,0.108013937,0.12311266,0.022648084,0.057491289,0.106852497,0,0.106852497,0,0,1234,1939,0,1,0.09076175,0.705357143,0,0.294642857,0,0,0,2014.183673,0.858258929,0,0.016207455,0.048622366,0.033225284,0.066450567,0.835494327,0,0.666126418,0.252836305,0.05267423,0.01458671,0.013776337,1031.64557,919.6078431,27.72416268,0,184,-3623188.402,1,0.100327154,0.85828877,0,0.85828877,35392.15686,24117.64706,34562.21374,0.479024943,0.254059217,0.273161414,0.980897803,781,0.596670935,0.057618438,0.277848912,0.019206146,0.04865557,730,0.104109589,0.104109589,0,0.360273973,0.053424658,0.383561644,0.080821918,0.017808219
12204,2763,0,0.489323199,1655,0.223564955,0.776435045,0.552870091,0.082175227,0.272507553,1.669486405,2.789189189,0.34310532,0,0.473036554,0.006152733,0,0.177705393,0.224031849,0.041621426,0.034382917,0.417300036,0.32247557,0.184220051,0.207214765,0.274748322,0.335151007,0.182885906,0.306188925,0.551359517,0.125755287,0.225830816,0.091767372,0.005287009,0.101586103,0.018504532,0.075906344,0.007175227,0,1992,1939,0.044108761,0.955891239,0.169176707,0.46884273,0,0,0,0.53115727,1993.59375,2013.663366,0.866230462,0,0,0,0.020582329,0.044176707,0.935240964,0,0.476907631,0.476907631,0.022590361,0.023594378,0,2044.078947,2016.26506,26.6239899,559210.5263,,,,,0.917220544,0.698630137,0.927307206,56656.25,51343.28358,53350.70575,0.151646761,0.041643219,0.39110861,0.650534609,1703,0.504991192,0.098649442,0.315325895,0.018203171,0.062830299,1692,0.062056738,0.049054374,0.013002364,0.21749409,0.055555556,0.511820331,0.021276596,0.13179669
12301,1887,0,0.42872284,1265,0.135968379,0.864031621,0.749407115,0.0743083,0.384980237,1.491699605,3.627906977,0.333863275,0.08691044,0.339162692,0.0063593,0.016428193,0.2172761,0.269210387,0.022257552,0.076311606,0.22045575,0.408055114,0.272919979,0.430184195,0.295900178,0.1942959,0.079619727,0.530471648,0.398373984,0.21300813,0.212466125,0.100813008,0.075338753,0.261246612,0.035772358,0.151219512,0.049864499,0.024390244,1675,1939,0.027667984,0.972332016,0.244776119,0.424390244,0,0,0.102439024,0.473170732,2011.354167,2010.111111,0.9001619,0.004856989,0,0.006567164,0.005373134,0.017313433,0.95641791,0.014328358,0.722985075,0.23641791,0.028059701,0,0.012537313,927.4336283,846.1538462,32.82123016,118229.1667,,,,,0.807905138,0,0.830894309,26928.57143,84166.66667,33701.96078,0.314255432,0.060679612,0.345873786,0.714805825,774,0.312661499,0.426356589,0.15374677,0.014211886,0.093023256,748,0.088235294,0.070855615,0.017379679,0.449197861,0.016042781,0.377005348,0.026737968,0.042780749
12302,2600,0,0.473461538,1906,0.200419727,0.799580273,0.716159496,0.039874082,0.199370409,1.364113326,2.314136126,0.264230769,0.070769231,0.472692308,0.009615385,0.002307692,0.180384615,0.143461538,0.026923077,0.020384615,0.419615385,0.368461538,0.164615385,0.248888889,0.294222222,0.294222222,0.162666667,0.376538462,0.568774704,0.116205534,0.190513834,0.096442688,0.028063241,0.149802372,0.04229249,0.073913043,0.0256917,0.007905138,2259,1939,0,1,0.156263834,0.674220963,0,0.056657224,0,0.269121813,0,2015.457971,0.64135514,0.061915888,0.009296149,0.024347056,0.003098716,0.034528552,0.928729526,0,0.651615759,0.239486498,0.085878707,0,0.023019035,1567.757009,1546.568627,33.36016043,0,371,-1796945.191,1,0.142692308,0.844176285,0,0.844176285,46753.24675,78968.25397,50051.42308,0.209230769,0.099660249,0.494337486,0.605322763,1590,0.506918239,0.2,0.185534591,0.029559748,0.077987421,1532,0.082245431,0.082245431,0,0.263707572,0.033289817,0.436684073,0.081592689,0.102480418
12403,2591,9,0.445773832,1268,0.366719243,0.633280757,0.619085174,0.179810726,0.249211356,2.036277603,3.744086022,0.460054033,0.062524122,0.155152451,0.019297569,0,0.302971826,0.239289849,0.025858742,0.116171362,0.199150907,0.503666538,0.155152451,0.572485207,0.129684418,0.238658777,0.059171598,0.62253956,0.326465927,0.205229794,0.366481775,0.053882726,0.047939778,0.313391442,0.075277338,0.192155309,0,0.020206022,1340,1939,0.016561514,0.983438486,0.053731343,1,0,0,0,0,2012.5,2012.197421,0.917406407,0,0.013432836,0.06119403,0.008955224,0.089552239,0.826865672,0,0.740298507,0.167164179,0.056716418,0.035820896,0,952.7777778,843.1640625,29.41939163,55000,,,,,0.726340694,0,0.738572574,35600,62748.4472,23304.94018,0.195291393,0.121933622,0.437950938,0.683982684,1217,0.273623665,0.382908792,0.136400986,0.041084634,0.165981923,1217,0.303204601,0.247329499,0.055875103,0.340180772,0.027115859,0.189811011,0.082169269,0.057518488
12404,2566,182,0.397895557,1599,0.202626642,0.797373358,0.706691682,0.105065666,0.264540338,1.490931832,2.972222222,0.253312549,0.109508963,0.425565082,0,0.005066251,0.206547155,0.332034295,0.041309431,0.069758379,0.254871395,0.434528449,0.199532346,0.47483989,0.338517841,0.135864593,0.050777676,0.348791894,0.588617886,0.188617886,0.149186992,0.073577236,0,0.201626016,0.116260163,0.037398374,0.04796748,0,1966,1939,0,1,0.186673449,0.14986376,0,0.217983651,0,0.632152589,0,2013.481801,0.8020265,0.002727981,0.013733469,0,0.023397762,0.086978637,0.875890132,0,0.753306205,0.178535097,0.009664293,0.035096643,0.023397762,906.097561,777.6785714,30.42724359,0,487,-1368925.392,1,0.189789556,0.816135084,0,0.816135084,26729.45205,36304.34783,24196.72642,0.273187841,0.044148563,0.384022425,0.660126139,1364,0.214076246,0.528592375,0.091642229,0.107771261,0.057917889,1364,0.112903226,0.112903226,0,0.480938416,0.074046921,0.312316716,0.019794721,0
12405,3817,293,0.414199633,2383,0.190096517,0.809903483,0.63701217,0.085186739,0.156105749,1.478808225,2.728476821,0.232119466,0.138852502,0.395860624,0.009955462,0,0.223211947,0.164527116,0.034058161,0.048205397,0.49908305,0.314121037,0.104532355,0.164481898,0.103308365,0.469101124,0.263108614,0.35315693,0.59777597,0.122050448,0.104692162,0.141307296,0.034174125,0.136967724,0.07756984,0.025223759,0,0.034174125,2526,1974.009901,0,1,0.056611243,0.342657343,0,0.314685315,0.342657343,0,0,2016.095311,0.684281477,0.039633324,0.008709422,0.023752969,0,0.023357086,0.944180523,0,0.57442597,0.299287411,0.115597783,0.010688836,0,1910.02845,1895.404664,25.15097656,0,916,-727802.0371,1,0.239979041,0.680234998,0,0.680234998,118282.3129,87884.61538,88368.74509,0.128263337,0.040757955,0.407937075,0.63282088,2683,0.689153932,0.110324264,0.105478941,0.022735744,0.072307119,2663,0.11678558,0.113781449,0.003004131,0.319939917,0.035674052,0.206909501,0.016147202,0.304543748
