Category,Attribute,North Beach,Russian Hill,Financial District,Chinatown,Nob Hill,Tenderloin,Marina,Pacific Heights,Presidio Heights,Western Addition,Japantown,Lone Mountain/USF,Hayes Valley,Haight Ashbury,Castro/Upper Market,South of Market,Mission,Treasure Island,Twin Peaks,Noe Valley,Glen Park,Potrero Hill,Bayview Hunters Point,Bernal Heights,Outer Mission,Excelsior,Portola,Visitacion Valley,Inner Sunset,West of Twin Peaks,Oceanview/Merced/Ingleside,Sunset/Parkside,Lakeshore,Inner Richmond,Outer Richmond,Seacliff,Presidio,Mission Bay,Lincoln Park,Golden Gate Park,McLaren Park,sf
Population,Total Population,11672,17614,22828,13698,25622,31118,24993,23895,10475,21989,3666,16964,20002,19025,22923,24972,57018,3185,8095,23121,8730,15089,39253,25325,24101,40157,15965,18600,28070,37753,26296,81209,13579,21767,45236,2501,4231,14896,171,25,104,865933
Population,Group Quarter Population,16,5,540,55,910,1590,90,481,98,286,46,2673,506,296,70,1156,1640,951,924,97,38,5,213,150,185,542,174,84,961,193,286,452,2566,177,176,0,0,370,171,0,0,19173
Population,Percent Female,0.4727553118574366,0.5219143862836381,0.4533467671280883,0.5414659074317418,0.46151744594489114,0.4294299119480686,0.5434321610050814,0.4975099393178489,0.5189498806682578,0.4899722588567011,0.5458265139116203,0.5334237208205612,0.4441055894410559,0.4424704336399474,0.3667495528508485,0.4273986865289124,0.45312006734715354,0.4364207221350079,0.43125386040765906,0.47013537476752737,0.5309278350515464,0.47425276691629664,0.49868799836955136,0.4715103652517275,0.489025352,0.4987175336803048,0.4873160037582211,0.4939784946236559,0.5260420377627361,0.5071385055492279,0.49262245208396716,0.504611558,0.5222770454378084,0.5360407956999127,0.5275444336369264,0.5173930427828869,0.5447884660836682,0.5134264232008593,0,0.36,1,0.48765897592538915
Households,Housholds,6198,9407,12091,6483,14716,18133,12559,12850,5051,11459,2309,6178,9754,8150,11756,13068,22899,650,3532,10778,3599,7287,11880,9088,6576,11207,4870,5157,11973,14130,7959,27609,4818,8950,19075,902,1351,6654,0,17,99,361222
Households,Family Households,0.39577282994514357,0.3609014563622834,0.36274915226201304,0.5040876137590622,0.270725741,0.24579495946616667,0.35010749263476393,0.31828793774319064,0.49514947535141557,0.32699188410856095,0.24599393676916415,0.41663968921981226,0.32109903629280295,0.37533742331288344,0.32562095951003744,0.30402509947964496,0.40202628935761386,0.47692307692307695,0.44394110985277463,0.4690109482278716,0.5693248124479022,0.4329628104844243,0.6867845117845118,0.6106954225352113,0.7372262773722628,0.7471223342553761,0.7262833675564682,0.7605196819856506,0.4631253654054957,0.7175513092710545,0.6264606106294761,0.6819153174689413,0.421129099,0.4867039106145251,0.5208387942332896,0.7749445676274944,0.5854922279792746,0.5419296663660956,0,0.17647058823529413,0.050505050505050504,0.47191201
Households,Non-Family Households,0.6042271700548564,0.6390985436377166,0.6372508477379869,0.49591238624093786,0.729274259,0.7542050405338333,0.6498925073652361,0.6817120622568094,0.5048505246485845,0.673008116,0.7540060632308359,0.5833603107801878,0.6789009637071971,0.6246625766871166,0.6743790404899626,0.695974901,0.5979737106423861,0.5230769230769231,0.5560588901472253,0.5309890517721284,0.4306751875520978,0.5670371895155757,0.3132154882154882,0.38930457746478875,0.26277372262773724,0.2528776657446239,0.27371663244353184,0.23948031801434944,0.5368746345945044,0.2824486907289455,0.37353938937052394,0.3180846825310587,0.578870901,0.5132960893854749,0.47916120576671034,0.22505543237250555,0.41450777202072536,0.4580703336339044,0,0.8235294117647058,0.9494949494949495,0.5280879902110059
Households,"Single Person Households, % of Total",0.4899967731526299,0.42510896141171467,0.42329005045074847,0.4318988122782662,0.529016037,0.6548833618265042,0.4298112907078589,0.5236575875486381,0.38685408829934664,0.5024871280216424,0.6405370290168905,0.3381353188734218,0.42864465860159934,0.30503067484662577,0.42267778155835317,0.5668044077134986,0.3535525568802131,0.15846153846153846,0.4116647791619479,0.34366301725737614,0.2889691580994721,0.35364347468093865,0.2313973063973064,0.22964348591549297,0.13838199513381996,0.16293388061033282,0.1868583162217659,0.15939499709133217,0.36390211308778087,0.21061571125265394,0.24475436612639778,0.20714259842804883,0.3845994188459942,0.3,0.34993446920052423,0.18181818181818182,0.11324944485566248,0.3258190562067929,0,0.5882352941176471,0.9494949494949495,0.3658248943862777
Households,"Households with Children, % of Total",0.1334301387544369,0.071010949,0.077826483,0.14376060465833718,0.052527861,0.10296145149727016,0.15064893701727844,0.12342412451361867,0.20075232627202533,0.091543765,0.069294067,0.15199093557785692,0.11226163625179414,0.16171779141104295,0.11449472609731201,0.10751453933272115,0.17681994846936547,0.3030769230769231,0.12485843714609286,0.19205789571349044,0.23895526535148653,0.18649650061753809,0.3526094276094276,0.300506162,0.3082420924574209,0.3189078254662265,0.2720739219712526,0.35097925150281173,0.19017790027562015,0.2775654635527247,0.26561125769569044,0.2589010829801876,0.13449564134495642,0.2293854748603352,0.22951507208387942,0.38470066518847007,0.40932642487046633,0.21791403666967238,0,0,0,0.18640614359036825
Households,"Households with 60 years and older, % of Total",0.39367537915456596,0.34655044116083766,0.18691588785046728,0.6054295850686411,0.2920630606142974,0.3222301880549275,0.21689624970140936,0.28848249027237355,0.34409027915264306,0.3827559123832795,0.5500216543958424,0.31563612819682746,0.20268607750666393,0.1947239263803681,0.2608029942157196,0.25382614018977656,0.2573038123935543,0.29846153846153844,0.3672140430351076,0.2879012803859714,0.3684356765768269,0.20804171812817346,0.47104377104377104,0.3438600352112676,0.5177919708029197,0.5070937806727938,0.4731006160164271,0.5130890052356021,0.34477574542721123,0.5307855626326964,0.5162708883025505,0.48962294903835707,0.3677874636778746,0.3293854748603352,0.42825688073394497,0.4844789356984479,0.11324944485566248,0.15749924857228734,0,0,1,0.35356650480867724
Households,Average Household Size,1.8806066473055825,1.8719039013500585,1.8433545612439004,2.104426962825852,1.679260668659962,1.6284122869905697,1.9828808026116729,1.822101167315175,2.0544446644228866,1.8939698053931409,1.5677782589865743,2.3132081579799286,1.998769735493131,2.298036809815951,1.9439435182034706,1.822467095194368,2.41835888,3.436923076923077,2.0302944507361267,2.1362033772499536,2.41511531,2.0699876492383695,3.2861952861952863,2.770136443661972,3.636861313868613,3.534844293744981,3.242505133470226,3.590459569517161,2.2641777332331077,2.6581740976645434,3.2679984922728984,2.925024448549386,2.2858032378580324,2.412290502793296,2.3622542595019658,2.772727272727273,3.131754256106588,2.183047790802525,0,1.4705882352941178,1.0505050505050506,2.344154010553067
