Neighborhood,Total Population,Group Quarter Population,Percent Female,Housholds,Family Households,Non-Family Households,"Single Person Households, % of Total","Households with Children, % of Total","Households with 60 years and older, % of Total",Average Household Size,Average Family Household Size,Asian,Black/African American,White,Native American Indian,Native Hawaiian/Pacific Islander,Other/Two or More Races,% Latino (of Any Race),0-4 Years,5-17 Years,18-34 Years,35-59 Years,60 and older,High School or Less,Some College/Associate Degree,College Degree,Graduate/Professional Degree,Foreign Born,English Only,Spanish Only,Asian/Pacific Islander,Other European Languages,Other Languages,% of All Households,% of Spanish-Speaking Households,% of Asian-Speaking Households,% of Other European-Speaking Households,% of Households Speaking Other Languages,Total Number of Units,Median Year Structure Built,Owner Occupied,Renter Occupied,Vacant Units,For Rent,For Sale Only,"Rented or Sold, Not Occupied","For Seasonal, Recreation or Occasional Use",Other Vacant,Median Year Moved in to Unit (Own),Median Year Moved in to Unit (Rent),Percent in Same House Last Year,Percent Abroad Last Year,"Overcrowding, Renter Occupied Housing",Single Family Housing,2-4 Units,5-9 Units,10-19 Units,20 Units or More,Other Type,No Bedroom,1 Bedroom,2 Bedrooms,3-4 Bedrooms,5 or More Bedrooms,Median Rent,Median Contract Rent,Median Rent as % of Household Income,Rent Burdened,Extremely Rent Burdened,Median Home Value,Vehicles Available,Vehicles Homeowners,Vehicles Renters,Vehicles Per Capita,Households with no Vehicle,Percent of Homeowning Households,Percent of Renting Households,Median Household Income (B19013_001),Median Family Income (B19113_001),Per Capita Income,Percent in Poverty,Household Income Less than 10000,Household Income 10000 to 14999,Household Income 15000 to 19999,Household Income 20000 to 24999,Household Income 25000 to 29999,Household Income 30000 to 34999,Household Income 35000 to 39999,Household Income 40000 to 44999,Household Income 45000 to 49999,Household Income 50000 to 59999,Household Income 60000 to 74999,Household Income 75000 to 99999,Household Income 100000 to 124999,Household Income 125000 to 149999,Household Income 150000 to 199999,Household Income Greater than 200000,Unemployment Rate,Percent Unemployment Female,Percent Unemployment Male,Employed Residents,Managerial Professional,Services,Sales and Office,Natural Resources,Production Transport Materials,Workers 16 Years and Older,Car,Drove Alone,Carpooled,Transit,Bike,Walk,Other Journey Type,Worked at Home,Population Density per Acre
Bayview Hunters Point,37917.0,222.0,0.5199250995595643,11925.0,0.6877987421383648,0.3122012578616352,0.2330398322851153,0.3559748427672956,0.4420125786163522,3.161006289308176,3.921726408193124,0.39066909301896247,0.26246802225914495,0.11920774322863095,0.0014769100930980827,0.020966848643088853,0.20521138275707465,0.23443310388480101,0.05788960097054092,0.16451723501331855,0.23369464883825197,0.3364190204921275,0.20747949468576102,0.47279884139774964,0.2611311225816035,0.18233131568197852,0.08373872033866835,0.41292823799351214,0.4335983427579643,0.19383013269133867,0.3540395274620682,0.015760595711326354,0.0027714013773025028,0.1398018028105929,0.033368792340854374,0.10424948211186384,0.0013437097586921226,0.0,12701.0,1963.663426488457,0.52041928721174,0.47958071278826,0.061097551373907565,0.09407216494845361,0.08247422680412371,0.07087628865979381,0.11469072164948453,0.6378865979381443,2002.6785714285713,2010.578000934143,0.9482450286934472,0.005765381022287469,0.08078335373317014,0.617352964333517,0.15109046531769152,0.06928588300133848,0.025194866545941264,0.1354224076844343,0.0016534131170773956,0.03015510589717345,0.12408471773876073,0.3523344618533974,0.45421620344854735,0.039209511062121095,1105.2919708029196,1034.5630372492838,31.342659053833604,0.49116978492743485,0.25598880923238326,756698.6855409505,17915.0,0.681216857382082,0.31878314261791796,0.4724793628187884,0.18238993710691823,0.06944892039961328,0.3049484175555167,64265.10989010989,69893.21608040201,29496.02816678535,0.17794791639070653,1123.0,890.0,420.0,634.0,524.0,424.0,239.0,359.0,402.0,637.0,1092.0,1070.0,826.0,951.0,962.0,1372.0,0.07084209472314008,0.5333433463502554,0.5374987483728848,18536.0,0.3044346137246439,0.2709322399654726,0.2066788951230039,0.08006042296072508,0.1378938282261545,18091.0,0.5937759106738157,0.47299762312752197,0.12077828754629373,0.29970703664805703,0.014371787076446853,0.03045713338123929,0.03161793156818307,0.030070200652258027,37917.0
Bernal Heights,25167.0,201.0,0.48325187745857673,9196.0,0.5976511526750761,0.4023488473249239,0.22335798173118748,0.30719878207916484,0.3140495867768595,2.7148760330578514,3.3828238719068415,0.17765327611554813,0.04140342512019708,0.5694361664083919,0.008662136925338737,0.0005960185957801883,0.2022489768347439,0.26276473159295904,0.06703222473874518,0.11821035482973735,0.21496404021138793,0.427186394882187,0.17260698533794255,0.21421999591085666,0.19510325086894295,0.3115927213248824,0.27908403189531794,0.281638653792665,0.626618398637138,0.2090289608177172,0.11030664395229983,0.05004258943781942,0.004003407155025554,0.06094548551959114,0.0424190800681431,0.016013628620102215,0.001575809199318569,0.0,9877.0,1939.0,0.5772074815137016,0.4227925184862984,0.06894806115217171,0.13215859030837004,0.041116005873715125,0.3803230543318649,0.18502202643171806,0.26138032305433184,2002.5254730713245,2011.8228404099561,0.8840829755647394,0.009067929222003772,0.09799382716049383,0.5767945732509872,0.33319833957679457,0.03715703148729371,0.012554419358104687,0.03867571124835476,0.001619925078465121,0.04819277108433735,0.16725726435152374,0.3740002024906348,0.391616887718943,0.0189328743545611,1888.5400313971743,1828.099173553719,22.828529411764706,0.32613168724279834,0.1376028806584362,1233076.4997248212,13041.0,0.6534774940572042,0.3465225059427958,0.5181785671712957,0.13266637668551545,0.06593820648078372,0.22376543209876543,139519.0023752969,148608.53432282002,69075.65462709103,0.058776585132277244,187.0,268.0,214.0,241.0,80.0,218.0,111.0,196.0,145.0,327.0,541.0,877.0,704.0,842.0,1002.0,3243.0,0.03100082924028832,0.457357912865982,0.5736429163743063,15191.0,0.6045684945033243,0.1537094332170364,0.14370350865644133,0.059574748206174706,0.038443815417023235,14830.0,0.4772757923128793,0.38408631153068107,0.09318948078219824,0.2712744436952124,0.06857720836142954,0.04706675657451113,0.03688469318948078,0.09892110586648685,25167.0
Castro/Upper Market,22502.0,72.0,0.38249933339258735,11330.0,0.3518976169461606,0.6481023830538394,0.38323036187113857,0.11579876434245366,0.2524271844660194,1.9796999117387466,2.655129169801856,0.1453204159630255,0.0337747755755044,0.7318460581281664,0.0016442982845969248,0.0029775131099457827,0.084436938938761,0.08030397298017954,0.03715225313305484,0.057372677984179186,0.3084614700915474,0.4297840191982935,0.16722957959292506,0.06975440741873025,0.1459288698665036,0.41236115357179254,0.3719555691429736,0.1895387076704293,0.805363241945906,0.046893750576940826,0.0632327148527647,0.06715591248961507,0.01735438013477338,0.005400166158958737,0.0009231053263177328,0.002353918582110219,0.0021231422505307855,0.0,12443.0,1939.0,0.39090909090909093,0.6090909090909091,0.0894478823434863,0.1554357592093441,0.0071877807726864335,0.37376460017969454,0.3306379155435759,0.132973944294699,2005.0254730713245,2011.624544626594,0.8398295581969052,0.02686701054047993,0.022025793363280685,0.20252350719279916,0.4241742345093627,0.16394760106083742,0.07707144579281523,0.12995258378204613,0.0023306276621393555,0.0906533794101101,0.33585148276139193,0.32299284738407136,0.23250020091617776,0.018002089528248815,2214.6098003629763,2154.569892473118,20.897579983593108,0.2828575568758151,0.11664976090421678,1360942.9065743946,11297.0,0.538195981233956,0.4618040187660441,0.5020442627322016,0.29549867608120034,0.11131180853465794,0.41370815823793655,162554.5171339564,199757.61772853186,106980.59728024175,0.05679287305122494,209.0,422.0,171.0,106.0,196.0,181.0,164.0,250.0,79.0,373.0,412.0,1037.0,858.0,804.0,1605.0,4463.0,0.03476891392573748,0.3607729117451087,0.6739960021806287,15908.0,0.7437138546643198,0.06883329142569776,0.1560849886849384,0.01093789288408348,0.02042997234096052,15573.0,0.2745135811982277,0.2390676170294741,0.03544596416875361,0.48089642329673155,0.04854555962242343,0.06954344057021769,0.04045463301868619,0.08604636229371349,22502.0
Chinatown,14438.0,53.0,0.5162072309184097,6907.0,0.5229477341827132,0.4770522658172868,0.41190097003040393,0.15969306500651512,0.5814391197336036,2.082669755320689,2.8308416389811737,0.8343953456157363,0.0013159717412383988,0.12106940019393268,0.008103615459204875,0.0024241584707023135,0.03269150851918548,0.030475135060257653,0.03560049868402826,0.07438703421526527,0.2106247402687353,0.29824075356697605,0.38114697326499514,0.6718685831622176,0.12197125256673512,0.13872689938398358,0.06743326488706365,0.7314032414461836,0.20791439241597243,0.01738006320022982,0.7573972996265441,0.016518241884515943,0.000790002872737719,0.5888394139615053,0.00560183855214019,0.579000287273772,0.0035191037058316574,0.0,7628.0,1939.0,0.06095265672506153,0.9390473432749384,0.09452018877818563,0.40360610263522884,0.0,0.06934812760055478,0.07489597780859916,0.4521497919556172,2004.5738636363637,2009.5412342981977,0.9152967400390081,0.006129841181387573,0.30141843971631205,0.020844257996853698,0.11090718405873098,0.12283691662296801,0.16858940744625064,0.5663345568956476,0.01048767697954903,0.5327739905610908,0.20647614053487154,0.16885159937073937,0.0646303093864709,0.027267960146827478,686.0294117647059,648.9047619047619,40.212801484230056,0.4838112858464385,0.23527597903176073,957706.7669172932,1906.0,0.17261280167890872,0.8273871983210913,0.13201274414738884,0.7609671347907919,0.334916864608076,0.7886216466234968,25255.235602094242,32775.11961722488,31981.742623632083,0.2378472222222222,845.0,1230.0,724.0,635.0,382.0,227.0,262.0,205.0,134.0,366.0,360.0,373.0,291.0,253.0,154.0,466.0,0.06960651289009498,0.5058344640434193,0.5637720488466758,6857.0,0.3072772349423946,0.38763307568907684,0.17106606387633075,0.044042584220504596,0.08998104127169317,6608.0,0.15329903147699758,0.12424334140435836,0.029055690072639227,0.3342917675544794,0.010139225181598063,0.44052663438256656,0.02209443099273608,0.039648910411622273,14438.0
Excelsior,39879.0,527.0,0.49875874520424285,10976.0,0.7766946064139941,0.22330539358600582,0.1430393586005831,0.33573250728862974,0.5074708454810496,3.5852769679300294,4.109325513196481,0.49993731036385064,0.02204167607011209,0.23651545926427442,0.0047142606384312545,0.0004513653802753329,0.23633992828305625,0.3196168409438552,0.042127435492364404,0.13646279996990898,0.2103864189172246,0.367210812708443,0.24381253291205898,0.44609235647750545,0.2690097113034287,0.21298804254475787,0.07190988967430799,0.5114220517064119,0.31749522238802064,0.25479724600120424,0.4006125814811906,0.023194324458755466,0.0039006256708290794,0.136469541087463,0.037383177570093455,0.09625906437341292,0.0013351134846461949,0.0,11475.0,1942.524188958452,0.6731960641399417,0.3268039358600583,0.043485838779956425,0.14228456913827656,0.0,0.10420841683366733,0.022044088176352707,0.7314629258517034,1997.1485836451095,2009.0078671328672,0.9387518288683719,0.0032541244135008323,0.230275996654586,0.8290196078431372,0.09089324618736383,0.0375599128540305,0.02710239651416122,0.013159041394335512,0.0022657952069716773,0.021002178649237473,0.09045751633986929,0.37455337690631807,0.4698910675381264,0.044095860566448805,1718.4531886024424,1526.3157894736842,29.996329113924048,0.43824923334262617,0.22163367716754948,839615.1117417524,19525.0,0.7206145966709347,0.2793854033290653,0.4896060583264375,0.0970298833819242,0.0699688726485316,0.15277390577083913,90211.31137352393,91814.6782841823,32327.651144712756,0.08791881279004539,378.0,254.0,386.0,342.0,254.0,279.0,229.0,341.0,384.0,549.0,1113.0,1609.0,1082.0,935.0,1388.0,1453.0,0.03979379578547526,0.4848964456905128,0.5548973500949624,21234.0,0.32885937647169633,0.2860035791654893,0.20999340680041442,0.07064142413111048,0.10450221343128945,20719.0,0.5832810463825474,0.4642598581012597,0.1190211882812877,0.3453834644529176,0.011197451614460157,0.017761474974660938,0.011535305757999903,0.030841256817413967,39879.0
Financial District,21537.0,563.0,0.4656173097460185,11297.0,0.37275382845003097,0.627246171549969,0.44569354695936975,0.1021510135434186,0.2186421173762946,1.8565990971054263,2.5336024697221564,0.4096206528300135,0.028648372568138552,0.481496958722199,0.0,0.0019037006082555602,0.07833031527139342,0.07099410317128663,0.04926405720388169,0.02693039884849329,0.38812276547337143,0.3760969494358546,0.15958582903839905,0.11247155704843428,0.11550547188211074,0.3842778199154838,0.3877451511539712,0.40428100478246737,0.5804356319593671,0.04722602070716937,0.1997460441492479,0.1469525297909748,0.025639773393240868,0.05684704043758547,0.005616331314709904,0.04268411799179527,0.00776518851338152,0.0007814026176987692,14459.0,2001.1858854361662,0.3222979552093476,0.6777020447906524,0.21868732277474237,0.13757115749525617,0.0913978494623656,0.12998102466793168,0.5872865275142315,0.053763440860215055,2011.286563071298,2014.8336886993604,0.7614609808905206,0.021180457497881954,0.08620689655172414,0.038038591880489664,0.005671208244000276,0.009060100975171174,0.0174285911888789,0.92980150771146,0.0,0.23224289369942597,0.2942112179265509,0.38820112040943355,0.0817483920049796,0.0035963759596099316,2836.6666666666665,2485.8906525573193,20.941771582733814,0.30276907001044934,0.12591431556948798,1335772.8337236533,7890.0,0.46362484157160966,0.5363751584283903,0.3663462877838139,0.41586261839426397,0.19637462235649547,0.5202455590386625,183786.52597402598,208909.4117876659,125896.75442262154,0.09291309038037615,362.0,206.0,348.0,191.0,152.0,209.0,77.0,167.0,186.0,308.0,256.0,880.0,536.0,938.0,1232.0,5249.0,0.04118068677917508,0.4746204469928976,0.5665602397862775,14715.0,0.7592252803261977,0.08216106014271152,0.12286782195039075,0.003669724770642202,0.03207611281005776,13943.0,0.20017212938392023,0.18410672021803054,0.016065409165889694,0.22362475794305386,0.02388295201893423,0.440220899376031,0.019723158574194936,0.09237610270386575,21537.0
Glen Park,8651.0,37.0,0.4909259045197087,3643.0,0.5531155640955256,0.44688443590447435,0.315673895141367,0.27504803733186933,0.36755421356025253,2.3645347241284655,3.1101736972704717,0.16911339729511038,0.07097445382036759,0.6439717951681887,0.003005432897930875,0.0,0.11293492081840249,0.12044850306322968,0.08172465610912033,0.13512888683389204,0.16992255230609177,0.39267136747196857,0.2205525372789273,0.08218308741868952,0.15690940821830873,0.34602570204664446,0.4148818023163573,0.20818402496821176,0.7272155085599195,0.0866062437059416,0.08157099697885196,0.07955689828801611,0.025050352467270897,0.02416918429003021,0.008559919436052367,0.009944612286002014,0.0031470292044310172,0.0025176233635448137,3773.0,1952.141393442623,0.6703266538567115,0.3296733461432885,0.03445534057778956,0.06923076923076923,0.0,0.08461538461538462,0.06923076923076923,0.7769230769230769,2002.5034770514603,2010.3822314049587,0.8889934148635936,0.007878645343367827,0.019983347210657785,0.6437847866419295,0.2340312748476014,0.028359395706334483,0.012456930824277764,0.08136761197985688,0.0,0.026504108136761198,0.16220514179697854,0.3514444738934535,0.4452690166975881,0.014577259475218658,1725.3649635036495,1629.2735042735044,20.08364779874214,0.2697751873438801,0.06910907577019151,1429545.4545454546,5019.0,0.7049212990635585,0.2950787009364415,0.5801641428736563,0.11885808399670601,0.06756756756756757,0.2231473771856786,169599.62756052142,202386.6739130435,83173.968327361,0.06854698878742342,135.0,41.0,59.0,66.0,75.0,105.0,27.0,116.0,28.0,211.0,103.0,186.0,270.0,189.0,537.0,1495.0,0.03951788184153329,0.4809326220114602,0.5585852598300731,4840.0,0.7770661157024793,0.08119834710743802,0.10495867768595041,0.015702479338842976,0.021074380165289255,4759.0,0.46501365833158226,0.42803109897037195,0.03698255936121034,0.34965328850598865,0.029838201302794704,0.01933179239335995,0.022903971422567768,0.11325908804370666,8651.0
Golden Gate Park,63.0,0.0,0.3968253968253968,48.0,0.0,1.0,0.7083333333333334,0.0,0.0,1.3125,0.0,0.07936507936507936,0.0,0.9206349206349206,0.0,0.0,0.0,0.0,0.0,0.0,0.5873015873015873,0.4126984126984127,0.0,0.0,0.06349206349206349,0.7777777777777778,0.15873015873015872,0.07936507936507936,0.9206349206349206,0.0,0.07936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1974.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.875,0.7936507936507936,0.0,0.0,0.0,0.3125,0.125,0.10416666666666667,0.4583333333333333,0.0,0.0,0.5625,0.4375,0.0,0.0,2225.0,2068.181818181818,17.95,0.0,0.0,0.0,55.0,-12121212.10909091,1.0,0.873015873015873,0.375,0.0,0.375,143750.0,0.0,107749.20634920635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,4.0,23.0,0.0,0.0,0.3559322033898305,0.6440677966101694,59.0,0.576271186440678,0.1694915254237288,0.0,0.2542372881355932,0.0,59.0,0.3220338983050847,0.3220338983050847,0.0,0.5932203389830508,0.0,0.0847457627118644,0.0,0.0,63.0
Haight Ashbury,19275.0,311.0,0.4782360570687419,8223.0,0.42977015687705217,0.5702298431229478,0.31302444363371035,0.16125501641736592,0.21804694150553325,2.306214277027849,2.946236559139785,0.10827496757457847,0.0459662775616083,0.7698573281452659,0.00010376134889753567,0.0,0.07579766536964981,0.07538261997405966,0.046588845654993515,0.0669260700389105,0.4075745784695201,0.35304798962386513,0.12586251621271077,0.069533961328706,0.14662865642042638,0.45674268715914723,0.3270946950917204,0.15201037613488974,0.8458399085813789,0.029765467704195463,0.040866300266637644,0.07454970887522447,0.00897861457256353,0.004516515209228927,0.0,0.0005441584589432443,0.003972356750285683,0.0,9068.0,1939.0,0.32360452389638816,0.6763954761036118,0.09318482576091751,0.1502958579881657,0.03195266272189349,0.2603550295857988,0.28875739644970416,0.2686390532544379,2006.0222222222221,2012.408993576017,0.8097757753562448,0.013044844928751048,0.028047464940668825,0.17214380238200264,0.4139832377591531,0.2011468901632113,0.14777238641376267,0.057123952359947064,0.007829730921923246,0.08734009704455227,0.29863255403617117,0.2525363917071019,0.330502867225408,0.03098808998676665,2274.294670846395,2190.4296875,19.353144375553587,0.20280474649406688,0.08773822366055375,1662719.298245614,8281.0,0.4575534355754136,0.5424465644245864,0.4296238651102464,0.3025659734889943,0.11086057872980083,0.39428263214670983,172486.6717440975,200998.37603993344,93978.8897535668,0.06285773753772506,235.0,65.0,66.0,220.0,135.0,90.0,111.0,115.0,60.0,262.0,410.0,420.0,542.0,790.0,1313.0,3389.0,0.02798841858541293,0.4793189025230939,0.5486695160623191,14100.0,0.6842553191489362,0.08787234042553191,0.1829078014184397,0.018156028368794326,0.026808510638297874,13858.0,0.25501515370183286,0.22643960167412325,0.028575552027709627,0.4373646990907779,0.07367585510174629,0.0696348679463126,0.06833597921778034,0.09597344494155001,19275.0
Hayes Valley,19711.0,502.0,0.4331084166201613,9652.0,0.3010774968918359,0.6989225031081641,0.4328636552009946,0.10412349772067965,0.20109821798590966,1.9901574803149606,2.700963523743978,0.1554461975546649,0.06848967581553447,0.6521739130434783,0.002435188473441226,0.0011161280503272284,0.1203388970625539,0.13413829841205419,0.045964182436203135,0.037390289685962155,0.4204251433209883,0.36603926741413423,0.1301811171427122,0.13658622927606348,0.14927134344209098,0.45406808661277953,0.26007434066906604,0.19090862969915276,0.7724541345386865,0.07599042807763892,0.07636266950279182,0.05466631215102366,0.02052645572985908,0.035416112735974475,0.010050518479127891,0.020154214304706194,0.004147833023132146,0.0010635469290082426,10641.0,1939.0,0.2026523000414422,0.7973476999585578,0.0929423926322714,0.2487360970677452,0.06370070778564206,0.3235591506572295,0.056622851365015166,0.30738119312436807,2010.4708904109589,2012.388888888889,0.8325482685439205,0.01138775298928516,0.029755717255717257,0.08777370547880839,0.2719669204022178,0.18099802650126867,0.15412085330326097,0.30326097171318483,0.0018795226012592802,0.18682454656517244,0.3269429564890518,0.3042007330138145,0.1686871534630204,0.01334461046894089,2065.3609154929577,2016.1628883291353,21.46868037703513,0.29313929313929316,0.11863305613305614,1178571.4285714286,7028.0,0.28229937393284005,0.7177006260671599,0.3565521789863528,0.41659759635308746,0.19069529652351738,0.47401247401247404,137961.69630642954,169303.79746835443,87209.70016741921,0.08544108574953732,365.0,381.0,205.0,226.0,191.0,303.0,98.0,147.0,115.0,198.0,486.0,998.0,734.0,731.0,1289.0,3185.0,0.023590827991805986,0.4268155686248596,0.5967752593669464,14753.0,0.6759303192571002,0.11021487155154884,0.16999932217176167,0.00948959533654172,0.03436589168304752,14430.0,0.23721413721413723,0.19445599445599446,0.042758142758142756,0.4092862092862093,0.09591129591129591,0.12765072765072766,0.04941094941094941,0.08052668052668052,19711.0
