Supervisor District,Total Population,Group Quarter Population,Percent Female,Housholds,Family Households,Non-Family Households,"Single Person Households, % of Total","Households with Children, % of Total","Households with 60 years and older, % of Total",Average Household Size,Average Family Household Size,Asian,Black/African American,White,Native American Indian,Native Hawaiian/Pacific Islander,Other/Two or More Races,% Latino (of Any Race),0-4 Years,5-17 Years,18-34 Years,35-59 Years,60 and older,High School or Less,Some College/Associate Degree,College Degree,Graduate/Professional Degree,Foreign Born,English Only,Spanish Only,Asian/Pacific Islander,Other European Languages,Other Languages,% of All Households,% of Spanish-Speaking Households,% of Asian-Speaking Households,% of Other European-Speaking Households,% of Households Speaking Other Languages,Total Number of Units,Median Year Structure Built,Owner Occupied,Renter Occupied,Vacant Units,For Rent,For Sale Only,"Rented or Sold, Not Occupied","For Seasonal, Recreation or Occasional Use",Other Vacant,Median Year Moved in to Unit (Own),Median Year Moved in to Unit (Rent),Percent in Same House Last Year,Percent Abroad Last Year,Single Family Housing,2-4 Units,5-9 Units,10-19 Units,20 Units or More,Other Type,No Bedroom,1 Bedroom,2 Bedrooms,3-4 Bedrooms,5 or More Bedrooms,Median Rent,Median Contract Rent,Median Rent as % of Household Income,Median Home Value,Vehicles Available,Vehicles Homeowners,Vehicles Renters,Vehicles Per Capita,Households with no Vehicle,Percent of Homeowning Households,Percent of Renting Households,Median Household Income (B19013_001),Median Family Income (B19113_001),Per Capita Income,Percent in Poverty,Unemployment Rate,Percent Unemployment Female,Percent Unemployment Male,Employed Residents,Managerial Professional,Services,Sales and Office,Natural Resources,Production Transport Materials,Workers 16 Years and Older,Car,Drove Alone,Carpooled,Transit,Bike,Walk,Other Journey Type,Worked at Home,Population Density per Acre
1,81278.0,3292.0,0.5251359531484534,32272.0,0.5069719881011403,0.4930280118988597,0.3131817055032226,0.19977069905800693,0.3923834903321765,2.4165220624690136,3.1708330786626733,0.3973399936022048,0.025123649696104727,0.47977312433868946,0.00091045547380595,0.0012180417825241763,0.09563473510667093,0.07996013681439011,0.04651935333054455,0.08633332513103177,0.31414404882009894,0.3235315829621792,0.22947168975614557,0.18446694993770166,0.18298137439698411,0.38950832241781413,0.2430433532475001,0.3084475503826374,0.5989780249558048,0.04425977779785024,0.27599778055924745,0.07488031794779153,0.005884098739306037,0.08820986618836858,0.0014839284101320052,0.06939623469295586,0.016142560357175116,0.00020645960488793115,34694.0,1939.0,0.376611303916708,0.6233886960832921,0.0698103418458523,0.09372419488026425,0.032617671345995046,0.18249380677126342,0.1676300578034682,0.523534269199009,1997.3697804563064,2011.165591059342,0.8549002548008203,0.011546827419054129,0.2937395515074653,0.42505908802674813,0.12797601890816857,0.10033435176111143,0.0528909897965066,0.0,0.06640917737937395,0.23462270133164237,0.3553063930362599,0.3086412636190696,0.035020464633654234,1996.7643951399896,1913.131709871694,24.78820687186829,1357748.0185843126,39099.0,-17050.266196066397,0.5317527302488555,0.48105268338295726,0.20649479424888448,0.12596675991443146,0.2551446465851476,111190.3236142262,139879.32604735883,60063.583011393,0.0906628507180457,0.04360098492583028,0.5172061738033752,0.5263948111224551,47769.0,0.5806066695974377,0.13531788398333647,0.1961523163557956,0.026565345726307858,0.061357784337122405,46865.0,0.44399871972687505,0.3674383868558626,0.07656033287101248,0.36125040008535153,0.04207831003947509,0.05620399018457271,0.02953163341512856,0.06693694654859704,81278.0
10,75353.0,872.0,0.5071330935729168,24768.0,0.6488614341085271,0.35113856589147285,0.23385012919896642,0.3319605943152455,0.37891634366925064,3.0071463178294575,3.7842698027502957,0.38672647406208116,0.17679455363422822,0.21920825979058564,0.0015925046116279378,0.017982031239632133,0.1976961766618449,0.22230037291149657,0.05875014929730734,0.14469231483816172,0.25543773970512124,0.348771780818282,0.19234801534112775,0.40728972645264966,0.23810306416858407,0.22490047843395056,0.12970673094481575,0.38957971149124787,0.46315878521275694,0.17337788681160646,0.3366184473958774,0.024292925020443844,0.0025519555593153426,0.1192510503905479,0.027634435890928573,0.08866988128471928,0.0015509122183684403,0.0,26299.0,1958.9571968107427,0.4947512919896641,0.505248708010336,0.05821514126012396,0.1077726975832789,0.051600261267145654,0.116263879817113,0.1822338340953625,0.5421293272371,2002.985298529853,2011.5057445868317,0.9103609473019626,0.009080773209032413,0.5169017833377695,0.2052169284003194,0.0759344461766607,0.048062663979618996,0.15133655272063576,0.0025476253849956274,0.049089318985512755,0.15053804327160727,0.36803680748317424,0.40389368417050076,0.028442146089204912,1409.9952061361457,1310.4804421768708,28.55409556313993,840013.7741046832,35854.0,0.6487700117141741,0.35122998828582586,0.4758138362109007,0.18338178294573643,0.06397910886241227,0.30030365990091096,85279.56989247311,84484.92462311557,42396.04262604011,0.1552360129307454,0.057622819402235036,0.5005144894589485,0.5571083299432865,39353.0,0.40728788148298734,0.23451833405331232,0.18301018982034406,0.06576372830533886,0.10941986633801744,38452.0,0.5324040362009779,0.42468532195984604,0.1077187142411318,0.30440549256215543,0.034432539269738896,0.04389888692395714,0.03882762925205451,0.0460314157911162,75353.0
11,87137.0,1018.0,0.49962702411145665,24154.0,0.7428169247329635,0.25718307526703654,0.16026331042477437,0.30235157737848806,0.5168916121553366,3.565413596091745,4.17846393936016,0.5350539954324799,0.04650148616546358,0.22080172601765036,0.0025362360420946328,0.0015607606412890048,0.19354579570102254,0.26262093025924693,0.04083225265960499,0.12217542490560841,0.23659295132951558,0.3528237143808026,0.24757565672446838,0.4310272410896436,0.249879995199808,0.22940417616704667,0.08968858754350174,0.5116655381755167,0.31921894255734096,0.20920326876368467,0.44871319350554567,0.016965984278347432,0.0058986108950813,0.14763277856877924,0.028332475861161298,0.11675181564747125,0.0007418131348783786,0.00016750619174673063,25036.0,1941.3915382734165,0.6667218680135796,0.3332781319864205,0.03522926985141396,0.11337868480725624,0.024943310657596373,0.06349206349206349,0.09297052154195011,0.7052154195011338,1999.5104333868378,2010.3851328624285,0.9356460823526692,0.006843455945252352,0.8205783671513022,0.10920274804281835,0.02224796293337594,0.02013101134366512,0.02644192362997284,0.0013979868988656336,0.028199392874261063,0.08807317462853491,0.384925706981946,0.44711615274005434,0.051685572775203706,1823.8678544914624,1642.4806746310612,30.12152777777778,846631.4935064935,41448.0,0.7337627871067361,0.26623721289326385,0.47566475779519607,0.12486544671689989,0.0751987083954297,0.22422360248447204,91853.77490878473,94281.49947934745,32770.837875988385,0.08511550810817077,0.04367379572256646,0.4918848690785529,0.5517889266440136,47839.0,0.34229394427141036,0.2831789962164761,0.2074667112606869,0.05903133426702063,0.10802901398440602,46682.0,0.5701769418619597,0.4642474615483484,0.10592948031361124,0.35219142281821686,0.010432286534424403,0.016023306627822288,0.013559830341459234,0.03761621181611756,87137.0
2,69486.0,761.0,0.5140891690412457,35268.0,0.3735397527503686,0.6264602472496313,0.446438697969831,0.14216853805149143,0.27086877622774186,1.9486503345809232,2.7764536207681796,0.1515988832282762,0.016291051434821402,0.7635494919839968,0.002129925452609159,0.0012664421610108511,0.06516420573928561,0.07208646346026537,0.049894942866188875,0.07178424430820597,0.3723627781135768,0.3172005871686383,0.18875744754339002,0.0650707670802027,0.09044207583435261,0.49599860213174907,0.34848855495369563,0.17947500215870824,0.8184310577258062,0.03682273284963419,0.07437252912040473,0.06543570790227056,0.004937972401884306,0.019918508308214303,0.00048470894742422635,0.012405519623138793,0.006634453717869099,0.0,39682.0,1939.0,0.2951400703187025,0.7048599296812975,0.1112343127866539,0.10647938377888537,0.02242863615768011,0.22020842772995017,0.3130946986859991,0.3377888536474853,2004.4664690626157,2012.809309146209,0.8154985871777228,0.01563620924410348,0.15861095710901668,0.24507333299732875,0.1351746383750819,0.21196008265712413,0.24766896829796886,0.0015120205634796633,0.1291013557784386,0.36039010130537774,0.25918552492313895,0.2194949851317978,0.03182803286124691,2514.949963387845,2465.1561760530053,20.758329791755205,2000000.0180883473,37020.0,0.4039978390059427,0.5960021609940572,0.5327691909161558,0.24880911874787343,0.10068210202709194,0.31083309867653564,166171.1616054364,206789.82812909997,117507.0805629911,0.04727436247062578,0.029279747308923153,0.5060263496945264,0.5232533976143967,46644.0,0.7121173141240031,0.050724637681159424,0.21291055655604152,0.008168253151530743,0.016079238487265245,45855.0,0.3822047759241086,0.3120052338894341,0.07019954203467452,0.32775051793697524,0.02937520444880602,0.09370842874277614,0.07469196379893142,0.09226910914840257,69486.0
3,73991.0,1128.0,0.49481693719506425,40343.0,0.34888332548397494,0.6511166745160251,0.495922464863793,0.08829288848127308,0.35508018739310415,1.8060877971395286,2.6675666074600355,0.43297157762430566,0.026246435377275616,0.4654620156505521,0.0036220621426930302,0.0012163641523969132,0.07048154505277669,0.08322633833844657,0.02638158694976416,0.045640686029381955,0.3622467597410496,0.3086997067210877,0.2570312605587166,0.2926806292586429,0.1402329889785537,0.3483216629509844,0.218764718811819,0.4026030192861294,0.5426782714918308,0.05022279598550785,0.34268937658768167,0.05676092116770083,0.007648634767278835,0.2151889948500118,0.008648093393856107,0.19767070614528243,0.00667693888032871,0.0011105095850858563,46362.0,1939.0,0.13985077956522818,0.8601492204347718,0.1298261507268884,0.247715567369995,0.014620368832031898,0.07908290413689982,0.2797806944675195,0.37880046519355376,2006.0427413411937,2011.4694256595867,0.8341704449814026,0.025439144245649283,0.0344894525689142,0.162395927699409,0.13854018377119193,0.16207238686855616,0.4998274448902118,0.0026746042017169232,0.33309607005737457,0.3400198438376256,0.2260903325999741,0.0932228980630689,0.007570855441956775,1560.0389863547757,1517.104517104517,25.9617271333674,1252019.3861066236,20069.0,-33218.443320544124,0.7146345109372664,0.2712356908272628,0.5895942294821902,0.21375398794753633,0.6507017088844702,80521.57778999451,87451.32398753894,68968.40967144653,0.143606889842005,0.04823847121152776,0.49831989940011134,0.5499185718114165,46169.0,0.5663540470878728,0.1677532543481557,0.1972319088565921,0.022417639541683815,0.0462431501656956,45465.0,0.1885186407126361,0.15345870449796548,0.03505993621467063,0.29257670735730784,0.028813372924227428,0.38073243154074565,0.04790498185417354,0.06145386561090949,73991.0
4,78787.0,422.0,0.5064287255511696,26862.0,0.6567269749087931,0.3432730250912069,0.2160673069763979,0.2538157992703447,0.4715955625046534,2.917318144590872,3.524686809137804,0.5380583091119093,0.016335182200109155,0.34575501034434614,0.001675403302575298,0.00644776422506251,0.09172833081599756,0.076433929455367,0.04749514513815731,0.10447154987497938,0.24554812342137664,0.34475230685265335,0.25773287471283335,0.25446543719370646,0.22525470724787205,0.3545750580345628,0.16570479752385867,0.41041034688463834,0.4723699113865014,0.03268705443400626,0.42815643946965154,0.052595109600906124,0.01419148510893464,0.10868145779199147,0.0015324138850023319,0.09620894130188554,0.007422213338663468,0.001785595309480978,28042.0,1944.9255691768826,0.6183083910356638,0.38169160896433624,0.042079737536552315,0.09322033898305085,0.03728813559322034,0.5872881355932204,0.1,0.18220338983050846,1997.188796680498,2011.4053468208092,0.9144303473023196,0.009381007304882737,0.7164966835461094,0.17876756294130233,0.056629341701733116,0.02710220383710149,0.020825904001141145,0.0001783039726125098,0.023322159617716283,0.11554097425290635,0.37308323229441553,0.4379858783253691,0.050067755509592755,2170.1958708311276,2034.7185691741188,26.842868525896414,1088540.177294824,44072.0,0.6678389907424215,0.3321610092575785,0.5593816238719586,0.10628396992033355,0.0844120657474863,0.14171462011118696,113537.36387532858,127975.23961661341,48525.45470699481,0.07215969203706772,0.039022996086708,0.4928549443784901,0.5461680517082179,43687.0,0.5350104149975965,0.18048847483233,0.17190468560441322,0.04017213358665049,0.07242429097900978,42608.0,0.5406027037176118,0.43536425084491176,0.10523845287269996,0.3266992114156966,0.02621573413443485,0.027694329703342097,0.024056515208411566,0.05473150582050319,78787.0
5,86079.0,1912.0,0.48410181345043507,40853.0,0.3639390008077742,0.6360609991922258,0.40623699605904096,0.12828923212493573,0.29515580251144347,2.0602403740239397,2.8214285714285716,0.20453304522589713,0.07997304801403363,0.6067101151268022,0.004217056424911999,0.0012198097096852891,0.10334692549866982,0.09870003136653539,0.04466826984514225,0.05497275758315036,0.38266011454594034,0.33404198468848384,0.1836568733372832,0.1436901233717003,0.1546764077469157,0.416293335171273,0.28534013371011097,0.24117380545777717,0.7165892453243184,0.053311282437921055,0.1364034341026826,0.07546756815915558,0.018228469975922368,0.0635260354597855,0.008646058807792397,0.04008074519055379,0.012914366320500036,0.0013984483303742976,44715.0,1939.0,0.24223435243433775,0.7577656475656622,0.08636922732863692,0.19523562920766444,0.02615225271879855,0.2576385292594511,0.17063697566027966,0.3503366131538063,2006.093443266588,2012.2185807150595,0.8129256101146721,0.013678329902969714,0.11837191099183719,0.2764620373476462,0.16555965559655597,0.1397070334339707,0.2968578776696858,0.0030414849603041484,0.16383763837638377,0.3323716873532372,0.2780722352678072,0.2089231801408923,0.016795258861679527,1920.6914893617022,1868.0940644896282,22.28185246288004,1219069.2395005675,33443.0,0.35520138743533775,0.6447986125646623,0.38851520115242977,0.3791887988642205,0.17865804365400162,0.4432923086862422,123539.47787328876,152292.89940828402,76477.76112640713,0.10380439890967195,0.03243700321325892,0.48755284965330625,0.5448841535599527,57189.0,0.6752347479410377,0.1014530766406127,0.172690552378954,0.017398450751018552,0.03322317228837714,56034.0,0.27415497733518934,0.22896812649462825,0.04518685084056109,0.4229039511725024,0.0682978191812114,0.10634614698218939,0.05425277510083164,0.07404433022807581,86079.0
6,84470.0,4992.0,0.4430211909553688,43633.0,0.3389865468796553,0.6610134531203447,0.5176357344211949,0.11722778630852795,0.25973460454243347,1.8215112414915315,2.8071800419173822,0.36582218539126315,0.07389605777199006,0.4135077542322718,0.008642121463241387,0.0047235704984018,0.13340831064283176,0.16836746774002603,0.03808452705102403,0.05899135787853676,0.36577483130105365,0.364342370072215,0.1728069136971706,0.269924023726428,0.18787252071753774,0.3100664971921812,0.2321369583638531,0.4132946608263289,0.5267497815465275,0.12217395050028922,0.24084033820289713,0.09063049979693058,0.01960542995335557,0.13658572606549912,0.030017353205420108,0.08546145988455811,0.0177347297945922,0.002646056145619239,51177.0,1990.6966116807846,0.18027639630554856,0.8197236036944514,0.14740996932215644,0.3075291622481442,0.04957582184517497,0.1549575821845175,0.28671792152704134,0.20121951219512196,2011.7239238410596,2013.2310687432869,0.7684213043790209,0.02083084208260589,0.027141098540359926,0.03425366864020947,0.030814623756765736,0.053891396525783064,0.8533716317877171,0.0005275807491646638,0.39390741934853546,0.3122496433944936,0.226429841530375,0.058932723684467635,0.008480372042128299,1349.516201620162,1290.2435961828228,27.786193467336684,1018921.7210990151,20540.0,-97370.62088607595,0.6375365141187926,0.24316325322599738,0.6061696422432562,0.22552758708365114,0.6898817345597897,82423.63762582437,119262.48821866163,71517.00130223748,0.18815209272065733,0.04626408530590637,0.42376919004764424,0.6224948952582621,50399.0,0.6039008710490288,0.17161054782832993,0.14698704339371813,0.019167046965217562,0.05833449076370563,49126.0,0.17913121361397225,0.16087204331718438,0.018259170296787853,0.32738264869926315,0.038452143467817446,0.3550869193502422,0.03794324797459594,0.06200382689410903,84470.0
7,76112.0,4313.0,0.5103137481606054,27358.0,0.6244608524014913,0.37553914759850865,0.25429490459828935,0.25312522845237223,0.4448790116236567,2.6244243000219316,3.158979161788808,0.3412471095228085,0.03494849695186042,0.5019313643052344,0.0019313643052343914,0.002167857893630439,0.11777380702123187,0.12090077780113517,0.042739646836241325,0.11176949758250998,0.28042884170695814,0.31670433046037416,0.24835768341391634,0.13874355195283714,0.19357037582903464,0.36470154753131906,0.30298452468680914,0.29790309018288835,0.6201018405413196,0.07683333562085673,0.20575357883034354,0.08752521994537395,0.00978602506210626,0.05510643846333329,0.008701738975281021,0.035685364882855924,0.0101840541319535,0.0,29305.0,1947.7953676158097,0.6078295197017326,0.3921704802982674,0.06643917420235455,0.16127375449409348,0.049820236260914225,0.2727272727272727,0.1936312275295326,0.32254750898818696,1998.8736609955893,2012.560286935287,0.8303556055890339,0.01337659757631945,0.6878689643405562,0.09595632144685207,0.026070636410168914,0.03436273673434567,0.15389865210714895,0.0018426889609281692,0.038457601091963826,0.1296365807882614,0.290530626173008,0.4954785872717966,0.04589660467497014,2247.178936055884,2144.664466446645,25.688232271325795,1388865.5462184874,44123.0,-30217.845794710243,0.29012079867642726,0.5797114778221568,0.10812193873821185,0.03650249564014673,0.21912573399198434,133979.07239819004,170820.89552238805,67720.28063905823,0.08903566710700132,0.05422510722151385,0.5027935551176539,0.55143155210386,40796.0,0.6057701735464261,0.12991469751936463,0.19158741053044417,0.02068830277478184,0.05203941562898323,39987.0,0.5326231025083152,0.4335909170480406,0.09903218546027459,0.2985720359116713,0.01565508790356866,0.06197014029559607,0.022582339260259585,0.0685972941205892,76112.0
8,74571.0,542.0,0.44361749205455203,35850.0,0.41620641562064153,0.5837935843793585,0.37277545327754535,0.15338912133891214,0.279581589958159,2.0649651324965133,2.799946384290597,0.14511002936798487,0.03316302584114468,0.7047109466146357,0.004706923603009213,0.0021992463558219684,0.11010982821740355,0.12176315189550897,0.04802134878169798,0.07611537997344812,0.2802698099797508,0.41213072105778387,0.1834627402073192,0.0859890417085989,0.15044488107218734,0.4036516988546509,0.35991437836456286,0.22333078542596987,0.7586702352444006,0.0852796168474433,0.06586843217354557,0.07820819833779405,0.011973517396816452,0.023735737427806734,0.012748274404845753,0.007916607972953937,0.0027891252289054796,0.0002817298211015636,39238.0,1939.0,0.4197489539748954,0.5802510460251046,0.08634486976910138,0.16735537190082644,0.014462809917355372,0.40613931523022434,0.21340023612750886,0.198642266824085,2004.8555320648343,2011.8302945301543,0.8437610223295439,0.01642835824945058,0.28671186095111884,0.3471634639889903,0.15727101279372038,0.08609001478158927,0.12062286558947959,0.0021407818951016872,0.083031754931444,0.30172281971558185,0.3158672715225037,0.28406136908099294,0.015316784749477548,2127.2816166883963,2037.1983914209115,20.194049429657795,1439764.1112047178,38888.0,0.5367722690804361,0.4632277309195639,0.5214895871049068,0.24365411436541143,0.09788676236044658,0.34910104797615615,160777.49683944375,201485.94836779815,99529.54231537729,0.06251090618666022,0.034490071332176596,0.4369770580296896,0.597513013302487,50033.0,0.7449083604820819,0.07525033477904583,0.1460236244078908,0.0123918213978774,0.021425858933104152,48841.0,0.3355787146045331,0.2908212362564239,0.04475747834810917,0.42126492086566614,0.048913822403308695,0.05806596916525051,0.03978215024262403,0.09639442271861756,74571.0
