Category,Attribute,North Beach,Russian Hill,Financial District,Chinatown,Nob Hill,Tenderloin,Marina,Pacific Heights,Presidio Heights,Western Addition,Japantown,Lone Mountain/USF,Hayes Valley,Haight Ashbury,Castro/Upper Market,South of Market,Mission,Treasure Island,Twin Peaks,Noe Valley,Glen Park,Potrero Hill,Bayview Hunters Point,Bernal Heights,Outer Mission,Excelsior,Portola,Visitacion Valley,Inner Sunset,West of Twin Peaks,Oceanview/Merced/Ingleside,Sunset/Parkside,Lakeshore,Inner Richmond,Outer Richmond,Seacliff,Presidio,Mission Bay,Lincoln Park,Golden Gate Park,McLaren Park
Employment,Percent Unemployment Male,0.566247518,0.520209408,0.56656024,0.563772049,0.538019475,0.640269336,0.507050405,0.529188594,0.580261772,0.549328834,0.503190967,0.520079956,0.596775259,0.548669516,0.673996002,0.684432359,0.604255737,0.635658915,0.644000877,0.5627231,0.55858526,0.586689149,0.537498748,0.573642916,0.562862033,0.55489735,0.540531706,0.564681725,0.528274837,0.551904961,0.543819511,0.546797822,0.533377689,0.481265273,0.540667248,0.588441331,0.474947808,0.561008403,0.476923077,0.644067797,0.379310345
Employment,Employed Residents,7158,12751,14715,6857,17834,15595,18474,15720,6332,13013,2004,10239,14753,14100,15908,14251,39137,1521,4460,15076,4840,9827,18536,15191,14424,21234,8734,9549,18199,20964,15040,45689,7818,14109,26520,1101,2817,8762,65,59,125
Employment,Managerial Professional,0.588711931,0.653987923,0.75922528,0.307277235,0.60939778,0.419942289,0.70991664,0.732760814,0.727416298,0.627756859,0.665169661,0.638831917,0.675930319,0.684255319,0.743713855,0.612167567,0.585686179,0.151216305,0.738116592,0.752653224,0.777066116,0.750279841,0.304434614,0.604568495,0.305740433,0.328859376,0.353789787,0.241386533,0.72811693,0.627170387,0.389162234,0.53748167,0.380148376,0.602310582,0.555995475,0.741144414,0.594604189,0.736818078,0.815384615,0.576271186,0.328
Employment,Services,0.14780665,0.099756882,0.08216106,0.387633076,0.12178984,0.298813722,0.035346974,0.042430025,0.06743525,0.115960962,0.078842315,0.104893056,0.110214872,0.08787234,0.068833291,0.180618904,0.155019547,0.357659435,0.084080717,0.066993898,0.081198347,0.091889692,0.27093224,0.153709433,0.304353855,0.286003579,0.247538356,0.31092261,0.100884664,0.106038924,0.257446809,0.177241787,0.239575339,0.138634914,0.141515837,0.0835604,0.121050763,0.04816252,0,0.169491525,0.136
Employment,Sales and Office,0.210813076,0.212453925,0.122867822,0.171066064,0.203599865,0.172170567,0.237144094,0.198664122,0.174194567,0.184661492,0.153692615,0.211739428,0.169999322,0.182907801,0.156084989,0.147147569,0.157012546,0.231426693,0.115919283,0.147585566,0.104958678,0.129846342,0.206678895,0.143703509,0.20542152,0.209993407,0.197046027,0.199706776,0.130501676,0.194428544,0.210638298,0.171857559,0.283832182,0.179389042,0.201659125,0.146230699,0.231451899,0.130677927,0.092307692,0,0.312
Employment,Natural Resources,0.009360156,0.011136381,0.003669725,0.044042584,0.02478412,0.032574543,0.004709321,0.014312977,0.005685407,0.025436102,0.037924152,0.012501221,0.009489595,0.018156028,0.010937893,0.009753701,0.035669571,0.057856673,0.026233184,0.016317326,0.015702479,0.012211255,0.080060423,0.059574748,0.0671797,0.070641424,0.062628807,0.093203477,0.013517226,0.02618775,0.039960106,0.039243582,0.014709644,0.02069601,0.03280543,0.013623978,0.014909478,0.029559461,0,0.254237288,0.128
Employment,Production Transport Materials,0.043308187,0.022664889,0.032076113,0.089981041,0.040428395,0.076498878,0.012882971,0.011832061,0.025268478,0.046184585,0.064371257,0.032034378,0.034365892,0.026808511,0.020429972,0.050312259,0.066612157,0.201840894,0.035650224,0.016449987,0.02107438,0.015772871,0.137893828,0.038443815,0.117304493,0.104502213,0.138997023,0.154780605,0.026979504,0.046174394,0.102792553,0.074175403,0.081734459,0.058969452,0.068024133,0.015440509,0.037983671,0.054782013,0.092307692,0,0.096
Households,Housholds,6297,9636,11297,6907,15247,17649,13583,12815,4805,11677,2266,6342,9652,8223,11330,12540,23772,606,3483,10787,3643,6757,11925,9196,6785,10976,4853,5160,12233,13917,7873,28277,4924,9385,18652,891,1324,6312,70,48,239
Households,Family Households,0.397332063,0.365815691,0.372753828,0.522947734,0.268839772,0.234347555,0.309578149,0.353726102,0.470759625,0.350346836,0.227272727,0.423683381,0.301077497,0.429770157,0.351897617,0.331499203,0.410230523,0.498349835,0.424921045,0.48669695,0.553115564,0.502293917,0.687798742,0.597651153,0.741635962,0.776694606,0.737275912,0.770736434,0.49235674,0.741826543,0.69465261,0.658839339,0.390739236,0.483324454,0.537904782,0.775533109,0.556646526,0.504119138,0.442857143,0,0.472803347
Households,Non-Family Households,0.602667937,0.634184309,0.627246172,0.477052266,0.731160228,0.765652445,0.690421851,0.646273898,0.529240375,0.649653164,0.772727273,0.576316619,0.698922503,0.570229843,0.648102383,0.668500797,0.589769477,0.501650165,0.575078955,0.51330305,0.446884436,0.497706083,0.312201258,0.402348847,0.258364038,0.223305394,0.262724088,0.229263566,0.50764326,0.258173457,0.30534739,0.341160661,0.609260764,0.516675546,0.462095218,0.224466891,0.443353474,0.495880862,0.557142857,1,0.527196653
