Neighborhood,Total Population,Group Quarter Population,Percent Female,Housholds,Family Households,Non-Family Households,"Single Person Households, % of Total","Households with Children, % of Total","Households with 60 years and older, % of Total",Average Household Size,Average Family Household Size,Asian,Black/African American,White,Native American Indian,Native Hawaiian/Pacific Islander,Other/Two or More Races,% Latino (of Any Race),0-4 Years,5-17 Years,18-34 Years,35-59 Years,60 and older,High School or Less,Some College/Associate Degree,College Degree,Graduate/Professional Degree,Foreign Born,English Only,Spanish Only,Asian/Pacific Islander,Other European Languages,Other Languages,% of All Households,% of Spanish-Speaking Households,% of Asian-Speaking Households,% of Other European-Speaking Households,% of Households Speaking Other Languages,Total Number of Units,Median Year Structure Built,Owner Occupied,Renter Occupied,Vacant Units,For Rent,For Sale Only,"Rented or Sold, Not Occupied","For Seasonal, Recreation or Occasional Use",Other Vacant,Median Year Moved in to Unit (Own),Median Year Moved in to Unit (Rent),Percent in Same House Last Year,Percent Abroad Last Year,Single Family Housing,2-4 Units,5-9 Units,10-19 Units,20 Units or More,Other,No Bedroom,1 Bedroom,2 Bedrooms,3-4 Bedrooms,5 or More Bedrooms,Median Rent,Median Contract Rent,Median Rent as % of Household Income,Median Home Value,Vehicles Available,Vehicles Homeowners,Vehicles Renters,Vehicles Per Capita,Households with no Vehicle,Percent of Homeowning Households,Percent of Renting Households,Median Household Income (B19013_001),Median Family Income (B19113_001),Per Capita Income,Percent in Poverty,Unemployment Rate,Percent Unemployment Female,Percent Unemployment Male,Employed Residents,Managerial Professional,Services,Sales and Office,Natural Resources,Production Transport Materials,Workers 16 Years and Older,Car,Drove Alone,Carpooled,Transit,Bike,Walk,Worked at Home,Population Density per Acre
Potrero Hill,15161,15,0.477804894,6757,0.502293917,0.497706083,0.28444576,0.247003108,0.21222436,2.241527305,2.827931644,0.211199789,0.056592573,0.558010685,0.002308555,0,0.171888398,0.146692171,0.060484137,0.111734054,0.317129477,0.383483939,0.127168393,0.126402143,0.132345555,0.407332998,0.333919304,0.214101972,0.73090424,0.103271553,0.104535243,0.057989329,0.003299635,0.029064869,0.004142095,0.020008425,0.002737995,0,7310,1970.027624,0.45389966,0.54610034,0.075649795,0.112115732,0,0.132007233,0.247739602,0.508137432,2007.714133,2014.135649,0.821122422,0.014264666,0.236798906,0.335294118,0.07004104,0.096990424,0.258549932,0.069580638,0.101504788,0.211080711,0.393433653,0.29124487,0.002735978,2356.382979,2279.97076,22.17679466,1244666.667,8269,0.537187084,0.462812916,0.545412572,0.154654432,0.04727747,0.243902439,170657.7267,179047.619,96953.50571,0.108821976,0.025292601,0.438603452,0.586689149,9827,0.750279841,0.091889692,0.129846342,0.012211255,0.015772871,9586,0.384936366,0.314938452,0.069997914,0.263300647,0.096286251,0.097642395,0.088253703,15161
Presidio,4226,0,0.539990535,1324,0.556646526,0.443353474,0.126888218,0.385196375,0.124622356,3.1918429,3.305291723,0.084003786,0.021060104,0.737103644,0.013014671,0,0.144817795,0.139138665,0.057501183,0.15404638,0.39517274,0.340274491,0.053005206,0.080525009,0.077687123,0.508336289,0.333451579,0.110033128,0.832789355,0.069545569,0.040170726,0.056490083,0.001004268,0.010293748,0,0,0.010293748,0,1336,1945.255814,0.025679758,0.974320242,0.008982036,0,0,0,1,0,2005,2013.279468,0.840086831,0.012542209,0.25748503,0.525449102,0.051646707,0.006736527,0.148952096,0.078731742,0.017215569,0.080838323,0.22754491,0.633233533,0.041167665,3364.369501,3213.323353,22.98597561,2000001,2429,0.037052285,0.962947715,0.574775201,0.024924471,0,0.025581395,200890.2433,211129.1371,80113.18031,0.035935269,0.019832985,0.544885177,0.474947808,2817,0.594604189,0.121050763,0.231451899,0.014909478,0.037983671,2807,0.435696473,0.335589597,0.100106876,0.258995369,0.076950481,0.058781617,0.090844318,4226
Presidio Heights,10585,196,0.514218233,4805,0.470759625,0.529240375,0.362747138,0.20541103,0.337773153,2.162122789,2.895225464,0.189041096,0.010581011,0.712801134,9.45E-05,0.002267359,0.085214927,0.061691072,0.06962683,0.088427019,0.293434105,0.333774209,0.214737837,0.084838201,0.104472185,0.450854442,0.359835171,0.18743505,0.812449228,0.036860276,0.075142161,0.069861901,0.005686434,0.041734362,0,0.028533712,0.01320065,0,5238,1939,0.379396462,0.620603538,0.082665139,0.147806005,0.122401848,0.327944573,0.133949192,0.267898383,2005.259179,2011.869607,0.812343539,0.017331023,0.263650248,0.312523864,0.130966018,0.180985109,0.111874761,0.025550942,0.047346315,0.303550974,0.286941581,0.306414662,0.055746468,2195.776256,2098.387097,22.05482759,2000000.408,5494,0.508918821,0.491081179,0.519036372,0.229968783,0.101481075,0.308517773,149321.0863,208358.2135,107588.9561,0.073610321,0.0473898,0.467128028,0.580261772,6332,0.727416298,0.06743525,0.174194567,0.005685407,0.025268478,6262,0.445704248,0.323698499,0.122005749,0.346694347,0.021398914,0.049984031,0.110667518,10585
Russian Hill,18139,5,0.503500744,9636,0.365815691,0.634184309,0.408053134,0.078455791,0.354088834,1.881901204,2.574184397,0.272451624,0.014333756,0.673300623,0.001653895,0.000937207,0.037322895,0.058051712,0.02293401,0.033133028,0.415844313,0.270907988,0.25718066,0.158114668,0.096663184,0.443311006,0.301911141,0.235183858,0.714156745,0.042035773,0.186932235,0.052304915,0.004570332,0.093889296,0.006093776,0.079049822,0.0061502,0,11145,1939,0.247405562,0.752594438,0.135397039,0.168986083,0.019880716,0.160371107,0.306163022,0.344599072,2006.950355,2012.099624,0.817813765,0.024957018,0.060026918,0.324629879,0.194078062,0.187169134,0.234096007,0.075574941,0.111081202,0.376312248,0.339793629,0.167160162,0.005652759,2239.775461,2183.36163,20.65544041,1396309.315,7393,0.353036656,0.646963344,0.407574839,0.390826069,0.178691275,0.460562603,144372.2944,165150.1767,107297.0175,0.062076189,0.018323197,0.498113789,0.520209408,12751,0.653987923,0.099756882,0.212453925,0.011136381,0.022664889,12610,0.246708961,0.196510706,0.050198255,0.346074544,0.036478985,0.218556701,0.076605868,18139
Seacliff,2507,0,0.483845233,891,0.775533109,0.224466891,0.17620651,0.398428732,0.428731762,2.81369248,3.256150507,0.184284005,0,0.718388512,0,0,0.097327483,0.041483845,0.060630235,0.226166733,0.093737535,0.38013562,0.239329876,0.038661281,0.115406809,0.351990767,0.493941143,0.171918628,0.810191083,0.033970276,0.104883227,0.048832272,0.002123142,0.02462845,0,0.021656051,0.002972399,0,1020,1939,0.75308642,0.24691358,0.126470588,0,0.170542636,0.162790698,0.465116279,0.201550388,2001.685083,2013.404255,0.940940137,0.013660104,0.769607843,0.155882353,0.047058824,0.02745098,0,0.036679537,0,0.045098039,0.205882353,0.591176471,0.157843137,2483.870968,2483.870968,28.04516129,2000000.729,1655,0.828398792,0.171601208,0.660151576,0.029180696,0.008941878,0.090909091,173093.2203,197544.6429,105396.3702,0.025129637,0.035901926,0.447460595,0.588441331,1101,0.741144414,0.0835604,0.146230699,0.013623978,0.015440509,1036,0.621621622,0.552123552,0.069498069,0.105212355,0.054054054,0.045366795,0.137065637,2507
South of Market,24058,1435,0.407307341,12540,0.331499203,0.668500797,0.528947368,0.110845295,0.271371611,1.804066986,2.764253067,0.392385069,0.089408928,0.363247153,0.007523485,0.005694571,0.141740793,0.16780281,0.023526478,0.059564386,0.364909801,0.366530884,0.185468451,0.276100598,0.22021839,0.305252236,0.198428776,0.435364536,0.519027754,0.114549634,0.291503491,0.066150179,0.008768943,0.153328793,0.032606845,0.106972586,0.012089222,0.000510812,14487,1992.539728,0.159489633,0.840510367,0.134396355,0.381099127,0.028762198,0.218798151,0.128916281,0.242424242,2012.533333,2012.960712,0.757507413,0.024265965,0.037343825,0.0717885,0.052046663,0.076896528,0.761924484,0.038683766,0.392627873,0.348795472,0.18851384,0.061641472,0.008421343,1246.932515,1195.891784,28.99280058,950000,5674,0.350017624,0.649982376,0.235846704,0.641945774,0.2535,0.715654649,69384.61538,83450,62974.20401,0.222744835,0.028959891,0.344527532,0.684432359,14251,0.612167567,0.180618904,0.147147569,0.009753701,0.050312259,14192,0.144165727,0.130284667,0.01388106,0.289811161,0.041925028,0.398463923,0.086950395,24058
Sunset/Parkside,82682,452,0.507921918,28277,0.658839339,0.341160661,0.21791562,0.256604307,0.478162464,2.908017116,3.507139023,0.536791563,0.015940592,0.348310394,0.001596478,0.006385912,0.090975061,0.074828862,0.047023536,0.106153697,0.241854333,0.343847512,0.261120921,0.251095766,0.226366055,0.352828999,0.16970918,0.410875402,0.474262,0.032286722,0.425210041,0.054724979,0.013516258,0.10783816,0.001649872,0.094639186,0.00797015,0.001700637,29612,1945.137037,0.629875871,0.370124129,0.045083074,0.082397004,0.032958801,0.527340824,0.113108614,0.244194757,1997.207739,2011.399484,0.915622634,0.009194813,0.730312036,0.17020127,0.053626908,0.025665271,0.020025665,0.024418683,0.022322032,0.110698366,0.363940294,0.452451709,0.0505876,2178.699897,2045.489493,26.99710317,1106260.021,46656,0.678583676,0.321416324,0.564282431,0.103971426,0.082420976,0.140645901,113737.8027,128340.1326,48657.31477,0.071673434,0.039178595,0.492380772,0.546797822,45689,0.53748167,0.177241787,0.171857559,0.039243582,0.074175403,44597,0.545440276,0.441845864,0.103594412,0.318093145,0.025831334,0.028522098,0.057694464,82682
Tenderloin,29927,1523,0.429912788,17649,0.234347555,0.765652445,0.661680548,0.095529492,0.326534081,1.609382968,3.060203095,0.291375681,0.097537341,0.405854245,0.014602199,0.004277074,0.18635346,0.241153473,0.036822936,0.066495138,0.292712267,0.37133692,0.23263274,0.402166065,0.220417168,0.25182511,0.125591657,0.420322785,0.493287077,0.177554206,0.219219428,0.081006071,0.028933218,0.193616652,0.050442324,0.111569818,0.024076323,0.00641804,20075,1939,0.025497195,0.974502805,0.120846824,0.420032976,0,0.109645507,0.05358615,0.416735367,2009.815951,2011.915939,0.825602156,0.012801078,0.012851806,0.01758406,0.025902864,0.072478207,0.869339975,0.036974352,0.655292653,0.253449564,0.057235367,0.020772105,0.013250311,1034.249696,990.3207965,31.00005669,769927.5362,3325,-601503.6848,0.926015038,0.111103686,0.816760156,0.422222222,0.82708297,35653.52697,60726.87225,37590.10592,0.242970859,0.069955905,0.429686569,0.640269336,15595,0.419942289,0.298813722,0.172170567,0.032574543,0.076498878,15362,0.130581955,0.118864731,0.011717224,0.400338498,0.045046218,0.362192423,0.024866554,29927
Treasure Island,3008,1210,0.429853723,606,0.498349835,0.501650165,0.173267327,0.259075908,0.255775578,2.9669967,3.281456954,0.106382979,0.227726064,0.40625,0.00831117,0.033244681,0.218085106,0.260305851,0.011303191,0.109042553,0.56349734,0.238364362,0.077792553,0.293170103,0.319587629,0.255798969,0.131443299,0.25099734,0.643241426,0.155682582,0.100874243,0.071284465,0.028917283,0.048083389,0.027236046,0.010759919,0.010087424,0,688,1960.914634,0,1,0.119186047,0.329268293,0,0.304878049,0,0.365853659,0,2012.152778,0.698863636,0.006016043,0.229651163,0.431686047,0.284883721,0.043604651,0.010174419,0.004771643,0.00872093,0.024709302,0.306686047,0.611918605,0.047965116,2105.714286,2105.714286,29.65789474,0,710,-938967.1352,1,0.236037234,0.336633663,0,0.336633663,54285.71429,37790.69767,17452.09441,0.492866848,0.157807309,0.522148394,0.635658915,1521,0.151216305,0.357659435,0.231426693,0.057856673,0.201840894,1467,0.350374915,0.299931834,0.050443081,0.500340832,0.023176551,0.086571234,0.034764826,3008
Twin Peaks,7794,740,0.382473698,3483,0.424921045,0.575078955,0.422049957,0.124892334,0.381567614,2.025265576,2.912162162,0.199640749,0.034385425,0.650628689,0,0.003592507,0.11175263,0.138824737,0.024890942,0.072876572,0.272004106,0.344110855,0.286117526,0.125092524,0.203997039,0.378534419,0.292376018,0.223376957,0.713815789,0.103157895,0.118947368,0.058026316,0.006052632,0.043684211,0.019868421,0.017236842,0.003815789,0,3770,1963.878843,0.401665231,0.598334769,0.076127321,0.167247387,0.142857143,0.543554007,0.118466899,0.027874564,2002.649457,2011.734694,0.837559531,0.01596087,0.364190981,0.124933687,0.129442971,0.256233422,0.121485411,0.057252772,0.0933687,0.300795756,0.276127321,0.318302387,0.011405836,2170.068027,2001.886792,22.34361111,1267788.462,5123,0.453054851,0.546945149,0.657300488,0.113120873,0.021443888,0.174664107,128450.9202,172995.7806,76989.42776,0.056831066,0.021715288,0.377714411,0.644000877,4460,0.738116592,0.084080717,0.115919283,0.026233184,0.035650224,4419,0.598551709,0.515501245,0.083050464,0.253903598,0.016972166,0.023761032,0.049558724,7794
